energy,energy_mean,energy_var,order,order_mean,order_var
-1.44,-1.44,0,0.2,0.2,0
-1.44,-1.44,0,0.2,0.2,0
-1.44,-1.44,-9.53674e-07,0.2,0.2,7.45058e-09
-1.44,-1.44,-6.35783e-07,0.22,0.205,0.000200001
-1.44,-1.44,-4.76837e-07,0.22,0.208,0.000239991
-1.44,-1.44,-1.14441e-06,0.2,0.206667,0.000213312
-1.42,-1.43714,0.000226816,0.22,0.208571,0.000228553
-1.42,-1.435,0.000341688,0.24,0.2125,0.000442835
-1.42,-1.43333,0.000398874,0.24,0.215556,0.000555526
-1.42,-1.432,0.000426398,0.24,0.218,0.000613317
-1.42,-1.43091,0.000435638,0.24,0.22,0.00063998
-1.44,-1.43167,0.000423345,0.22,0.22,0.000581812
-1.4,-1.42923,0.000697176,0.2,0.218462,0.000594865
-1.4,-1.42714,0.000888384,0.22,0.218571,0.000549447
-1.4,-1.42533,0.001022,0.2,0.217333,0.000556179
-1.4,-1.42375,0.00111459,0.2,0.21625,0.000556657
-1.4,-1.42235,0.00117868,0.18,0.214118,0.000676464
-1.4,-1.42111,0.00121997,0.2,0.213333,0.000658808
-1.4,-1.42,0.00124651,0.22,0.213684,0.00062689
-1.4,-1.419,0.0012598,0.22,0.214,0.000597886
-1.4,-1.4181,0.00126662,0.2,0.213333,0.000586672
-1.4,-1.41727,0.00126662,0.18,0.211818,0.00065976
-1.4,-1.41652,0.00125967,0.18,0.210435,0.000717815
-1.4,-1.41583,0.00124935,0.2,0.21,0.000695676
-1.4,-1.4152,0.00123735,0.2,0.2096,0.000674693
-1.42,-1.41538,0.00119209,0.22,0.21,0.000656024
-1.44,-1.4163,0.00123519,0.24,0.211111,0.000697469
-1.44,-1.41714,0.00127001,0.24,0.212143,0.000731262
-1.44,-1.41793,0.00129788,0.26,0.213793,0.000863092
-1.44,-1.41867,0.00131864,0.26,0.215333,0.000975673
-1.42,-1.41871,0.00127548,0.28,0.217419,0.00121294
-1.44,-1.41937,0.00129081,0.26,0.21875,0.00128713
-1.44,-1.42,0.0013026,0.26,0.22,0.00135003
-1.44,-1.42059,0.00131023,0.26,0.221176,0.00140323
-1.46,-1.42171,0.00144958,0.28,0.222857,0.00155969
-1.46,-1.42278,0.00157127,0.28,0.224444,0.00169652
-1.46,-1.42378,0.00167799,0.28,0.225946,0.00181624
-1.46,-1.42474,0.00177131,0.28,0.227368,0.00192094
-1.48,-1.42615,0.00203843,0.3,0.229231,0.0021409
-1.48,-1.4275,0.00227708,0.3,0.231,0.00233643
-1.48,-1.42878,0.00248928,0.3,0.232683,0.00251024
-1.48,-1.43,0.00267922,0.3,0.234286,0.00266481
-1.48,-1.43116,0.00284903,0.3,0.235814,0.00280221
-1.48,-1.43227,0.00299853,0.3,0.237273,0.0029243
-1.48,-1.43333,0.00313221,0.3,0.238667,0.00303271
-1.48,-1.43435,0.00325182,0.3,0.24,0.00312886
-1.48,-1.43532,0.0033576,0.3,0.241277,0.00321403
-1.48,-1.43625,0.00345238,0.3,0.2425,0.00328933
-1.48,-1.43714,0.00353432,0.3,0.243674,0.00335573
-1.48,-1.438,0.00360855,0.28,0.2444,0.00334003
-1.48,-1.43882,0.00367432,0.3,0.24549,0.00339446
-1.48,-1.43962,0.00373152,0.3,0.246538,0.00344217
-1.5,-1.44075,0.00393435,0.32,0.247925,0.00357963
-1.5,-1.44185,0.00412088,0.32,0.249259,0.0037045
-1.5,-1.44291,0.00428977,0.32,0.250545,0.00381787
-1.5,-1.44393,0.00444502,0.32,0.251786,0.00392073
-1.5,-1.44491,0.00458629,0.32,0.252982,0.00401399
-1.5,-1.44586,0.0047151,0.32,0.254138,0.00409846
-1.5,-1.44678,0.0048321,0.32,0.255254,0.00417484
-1.54,-1.44833,0.00532963,0.3,0.256,0.00417083
-1.54,-1.44984,0.00579106,0.3,0.256721,0.00416477
-1.54,-1.45129,0.00622111,0.3,0.257419,0.00415692
-1.54,-1.4527,0.00661958,0.3,0.258095,0.00414742
-1.54,-1.45406,0.00698989,0.3,0.25875,0.00413647
-1.54,-1.45538,0.00733432,0.3,0.259385,0.00412419
-1.56,-1.45697,0.00788433,0.32,0.260303,0.00417207
-1.56,-1.45851,0.00840005,0.32,0.261194,0.00421526
-1.56,-1.46,0.00888076,0.32,0.262059,0.00425405
-1.56,-1.46145,0.00932937,0.32,0.262899,0.00428881
-1.54,-1.46257,0.00954719,0.34,0.264,0.00439649
-1.54,-1.46366,0.00974832,0.32,0.264789,0.00442204
-1.54,-1.46472,0.00993479,0.3,0.265278,0.00439419
-1.54,-1.46575,0.0101064,0.3,0.265753,0.00436622
-1.54,-1.46676,0.0102679,0.3,0.266216,0.00433811
-1.54,-1.46773,0.0104144,0.3,0.266667,0.00430993
-1.54,-1.46868,0.0105513,0.3,0.267105,0.0042817
-1.54,-1.46961,0.0106765,0.3,0.267532,0.00425349
-1.56,-1.47077,0.0109591,0.32,0.268205,0.00426886
-1.56,-1.4719,0.0112223,0.32,0.268861,0.004282
-1.56,-1.473,0.0114681,0.32,0.2695,0.00429321
-1.56,-1.47407,0.0116993,0.34,0.27037,0.00436227
-1.56,-1.47512,0.0119161,0.34,0.271219,0.0044267
-1.56,-1.47614,0.0121187,0.34,0.272048,0.0044867
-1.56,-1.47714,0.0123072,0.34,0.272857,0.00454259
-1.58,-1.47835,0.0126582,0.36,0.273882,0.00466718
-1.6,-1.47977,0.0131985,0.34,0.274651,0.00471394
-1.6,-1.48115,0.0137076,0.34,0.275402,0.0047573
-1.62,-1.48273,0.014427,0.36,0.276364,0.00486526
-1.6,-1.48404,0.01488,0.34,0.277079,0.00490098
-1.58,-1.48511,0.0151219,0.36,0.278,0.00499873
-1.58,-1.48615,0.0153479,0.36,0.278901,0.00509098
-1.58,-1.48717,0.0155626,0.38,0.28,0.00525724
-1.58,-1.48817,0.0157647,0.38,0.281075,0.00541515
-1.58,-1.48915,0.0159536,0.38,0.282128,0.00556514
-1.58,-1.49011,0.0161314,0.38,0.283158,0.00570762
-1.58,-1.49104,0.0162989,0.36,0.283958,0.00577053
-1.58,-1.49196,0.016454,0.36,0.284742,0.00582961
-1.58,-1.49286,0.0166014,0.36,0.28551,0.00588508
-1.58,-1.49374,0.0167384,0.36,0.286263,0.00593715
-1.58,-1.4946,0.0168665,0.36,0.287,0.00598594
-1.58,-1.49545,0.016987,0.36,0.287723,0.00603159
-1.58,-1.49627,0.0170992,0.36,0.288431,0.0060743
-1.58,-1.49709,0.0172031,0.36,0.289126,0.0061142
-1.58,-1.49788,0.0172997,0.36,0.289808,0.00615144
-1.58,-1.49867,0.0173899,0.36,0.290476,0.00618612
-1.58,-1.49943,0.0174743,0.36,0.291132,0.0062184
-1.58,-1.50019,0.0175501,0.36,0.291776,0.00624836
-1.58,-1.50093,0.0176222,0.36,0.292407,0.0062762
-1.58,-1.50165,0.0176891,0.34,0.292844,0.00625965
-1.58,-1.50236,0.0177491,0.34,0.293273,0.00624268
-1.58,-1.50306,0.0178053,0.34,0.293694,0.00622524
-1.58,-1.50375,0.0178553,0.34,0.294107,0.00620748
-1.58,-1.50443,0.0179017,0.34,0.294513,0.00618935
-1.58,-1.50509,0.0179436,0.34,0.294912,0.00617085
-1.6,-1.50591,0.0180992,0.32,0.29513,0.00612765
-1.58,-1.50655,0.0181314,0.34,0.295517,0.00610907
-1.6,-1.50735,0.0182734,0.36,0.296068,0.00612747
-1.6,-1.50814,0.0184086,0.38,0.29678,0.00619451
-1.6,-1.50891,0.0185359,0.38,0.297479,0.0062584
-1.6,-1.50967,0.0186554,0.38,0.298167,0.00631929
-1.6,-1.51041,0.0187678,0.38,0.298843,0.00637731
-1.6,-1.51115,0.0188729,0.38,0.299508,0.00643254
-1.62,-1.51203,0.0191053,0.36,0.3,0.00643932
-1.62,-1.5129,0.0193258,0.36,0.300484,0.00644503
-1.62,-1.51376,0.0195379,0.36,0.30096,0.0064497
-1.62,-1.5146,0.0197383,0.34,0.30127,0.00642232
-1.62,-1.51543,0.0199321,0.34,0.301575,0.00639496
-1.62,-1.51625,0.0201163,0.34,0.301875,0.00636768
-1.62,-1.51705,0.0202931,0.34,0.302171,0.00634047
-1.62,-1.51785,0.0204598,0.34,0.302462,0.00631333
-1.62,-1.51863,0.0206213,0.34,0.302748,0.00628629
-1.62,-1.51939,0.0207753,0.34,0.30303,0.00625931
-1.62,-1.52015,0.0209218,0.34,0.303308,0.00623244
-1.62,-1.5209,0.0210624,0.34,0.303582,0.00620567
-1.62,-1.52163,0.0211978,0.34,0.303852,0.00617904
-1.62,-1.52235,0.0213246,0.34,0.304118,0.00615247
-1.64,-1.52321,0.0215738,0.32,0.304234,0.00611091
-1.64,-1.52406,0.0218109,0.32,0.304348,0.00606993
-1.64,-1.52489,0.0220417,0.32,0.30446,0.00602946
-1.64,-1.52571,0.0222618,0.32,0.304571,0.00598953
-1.64,-1.52653,0.0224719,0.32,0.304681,0.00595015
-1.64,-1.52732,0.0226751,0.32,0.304789,0.00591125
-1.64,-1.52811,0.0228698,0.32,0.304895,0.00587286
-1.64,-1.52889,0.023057,0.32,0.305,0.00583496
