energy,energy_mean,energy_var,order,order_mean,order_var
-1.08,-1.08,0,0.18,0.18,0
-1.08,-1.08,0,0.16,0.17,3.99996e-05
-1.06,-1.07333,5.33104e-06,0.18,0.173333,2.66667e-05
-1.08,-1.075,3.99272e-06,0.2,0.18,5.33342e-05
-1.08,-1.076,3.20196e-06,0.22,0.188,0.000104
-1.08,-1.07667,2.66457e-06,0.24,0.196667,0.000173334
-1.1,-1.08,5.32866e-06,0.26,0.205714,0.000259049
-1.1,-1.0825,6.57218e-06,0.24,0.21,0.000251429
-1.1,-1.08444,7.10487e-06,0.26,0.215556,0.000275556
-1.12,-1.088,1.13752e-05,0.28,0.222,0.000328
-1.14,-1.09273,2.00696e-05,0.26,0.225455,0.000321453
-1.12,-1.095,2.07272e-05,0.24,0.226667,0.000295756
-1.14,-1.09846,2.52219e-05,0.22,0.226154,0.000271795
-1.16,-1.10286,3.41045e-05,0.2,0.224286,0.000260659
-1.16,-1.10667,4.03813e-05,0.22,0.224,0.000242286
-1.14,-1.10875,4.04749e-05,0.2,0.2225,0.000233333
-1.12,-1.10941,3.82331e-05,0.18,0.22,0.00024
-1.1,-1.10889,3.61807e-05,0.16,0.216667,0.000265882
-1.08,-1.10737,3.59352e-05,0.14,0.212632,0.000312982
-1.08,-1.106,3.55419e-05,0.12,0.208,0.000382316
-1.08,-1.10476,3.50499e-05,0.1,0.202857,0.000474286
-1.08,-1.10364,3.44962e-05,0.08,0.197273,0.000588918
-1.06,-1.10174,3.62431e-05,0.06,0.191304,0.000726008
-1.04,-1.09917,4.1009e-05,0.04,0.185,0.000885218
-1.04,-1.0968,4.49093e-05,0.02,0.1784,0.00106613
-1.02,-1.09385,5.21864e-05,0,0.171538,0.00126831
-1.04,-1.09185,5.44704e-05,0.02,0.165926,0.00138963
-1.06,-1.09071,5.39054e-05,0,0.16,0.00153482
-1.02,-1.08828,5.88669e-05,0.02,0.155172,0.00161517
-1,-1.08533,6.72288e-05,0.04,0.151333,0.00164791
-1,-1.08258,7.43833e-05,0.06,0.148387,0.0016468
-1.02,-1.08063,7.68795e-05,0.04,0.145,0.0016671
-1.04,-1.07939,7.64735e-05,0.06,0.142424,0.00165879
-1.04,-1.07824,7.59789e-05,0.08,0.140588,0.00163144
-1.02,-1.07657,7.76166e-05,0.1,0.139429,0.00159287
-1.02,-1.075,7.89547e-05,0.1,0.138333,0.001556
-1.04,-1.07405,7.80796e-05,0.12,0.137838,0.0015146
-1.06,-1.07368,7.61853e-05,0.14,0.137895,0.00147369
-1.08,-1.07385,7.42117e-05,0.16,0.138462,0.00143741
-1.06,-1.0735,7.24925e-05,0.14,0.1385,0.00140057
-1.08,-1.07366,7.07178e-05,0.12,0.138049,0.00136722
-1.08,-1.07381,6.90258e-05,0.14,0.138095,0.00133389
-1.06,-1.07349,6.75519e-05,0.16,0.138605,0.00130436
-1.06,-1.07318,6.61546e-05,0.14,0.138636,0.00127404
-1.06,-1.07289,6.48037e-05,0.16,0.139111,0.00124711
-1.04,-1.07217,6.42926e-05,0.18,0.14,0.00122667
-1.06,-1.07192,6.3021e-05,0.16,0.140425,0.00120171
-1.06,-1.07167,6.17936e-05,0.14,0.140417,0.00117614
-1.04,-1.07102,6.13198e-05,0.12,0.14,0.00115334
-1.04,-1.0704,6.08347e-05,0.1,0.1392,0.0011362
-1.08,-1.07059,5.96875e-05,0.12,0.138823,0.00111492
-1.06,-1.07039,5.86038e-05,0.1,0.138077,0.00109886
-1.06,-1.07019,5.75592e-05,0.08,0.136981,0.00109045
-1.08,-1.07037,5.65367e-05,0.06,0.135556,0.00109183
-1.1,-1.07091,5.61404e-05,0.04,0.133818,0.00110481
-1.1,-1.07143,5.57216e-05,0.06,0.1325,0.00110418
-1.1,-1.07193,5.53083e-05,0.08,0.131579,0.00109414
-1.12,-1.07276,5.59253e-05,0.06,0.130345,0.00109261
-1.12,-1.07356,5.64723e-05,0.08,0.129491,0.00108236
-1.12,-1.07433,5.69542e-05,0.1,0.129,0.00106692
-1.1,-1.07475,5.64265e-05,0.08,0.128197,0.00105701
-1.12,-1.07548,5.68185e-05,0.1,0.127742,0.00104224
-1.14,-1.07651,5.85475e-05,0.12,0.127619,0.00102563
-1.12,-1.07719,5.88002e-05,0.1,0.127187,0.00101173
-1.14,-1.07815,6.03146e-05,0.12,0.127077,0.00099608
-1.12,-1.07879,6.04444e-05,0.14,0.127273,0.000981261
-1.12,-1.0794,6.05404e-05,0.16,0.127761,0.000969591
-1.12,-1.08,6.05983e-05,0.14,0.127941,0.00095556
-1.12,-1.08058,6.06298e-05,0.16,0.128406,0.000944486
-1.14,-1.08143,6.17747e-05,0.14,0.128571,0.000931181
-1.14,-1.08225,6.28135e-05,0.16,0.129014,0.000920662
-1.16,-1.08333,6.52878e-05,0.18,0.129722,0.000914916
-1.16,-1.08438,6.76025e-05,0.18,0.130411,0.000909134
