label,8,32,128,256,512,1024
cg,1.19575e-15,6.04802e-07,8.1102e-06,3.43635e-05,0.000138048,0.000619998
bcgs,1.04738e-15,3.36494e-06,0.000980007,0.00664359,0.0456163,0.0554986
gmres_0,4.58704e-07,3.96713e-05,0.000816721,0.0232598,0.0528249
gmres_30,8.19236e-15,7.85785e-06,0.00184755,0.0105512,1.52766,204.188
gmres_200,8.19236e-15,1.05063e-06,3.78025e-05,0.00336469,0.0569681,0.335223
