size,8,32,128,256,512,1024
cg_none,1.19575e-15,6.04802e-07,8.1102e-06,3.43635e-05,0.000138048,0.000619998
cg_jacobi,1.19575e-15,6.04802e-07,8.1102e-06,3.43635e-05,0.000138048,0.000619998
cg_sor,1.04748e-07,3.90533e-06,7.98e-05,0.000469078,0.00168338,0.00109516
cg_ilu,3.58257e-07,1.56076e-06,3.81209e-05,0.000314674,0.000288775,0.00138557
cg_icc,3.58257e-07,1.56076e-06,3.81209e-05,0.000314674,0.000288775,0.00138557
cg_gamg,5.86979e-08,3.8421e-07,2.30452e-06,2.2204e-05,1.69225e-05,6.88555e-05
gmres_none,8.19236e-15,7.85785e-06,0.00184755,0.0105512,1.52766,204.188
gmres_jacobi,8.19236e-15,7.85785e-06,0.00184755,0.0105512,1.52766,204.188
gmres_sor,1.03573e-07,2.00465e-05,0.000374698,0.00526619,0.0295769,0.170028
gmres_ilu,3.53688e-07,1.67065e-06,5.46839e-05,0.00305299,0.0224502,0.128405
gmres_icc,3.53688e-07,1.67065e-06,5.46839e-05,0.00305299,0.0224502,0.128405
gmres_gamg,5.6142e-08,2.78486e-06,8.78212e-06,6.54164e-06,2.45119e-05,6.16166e-05
