label,8,32,128,256,512,1024
cg,10,58,218,427,838,1637
bcgs,10,44,169,313,602,1310
gmres_0,10,119,1341,4501,10000,10000
gmres_30,10,119,1341,4501,10000,10000
gmres_200,10,58,216,753,2489,8888
