"pressure [MPa]","density [g/ml]","viscosity [Pa*s]","enthalpy [kJ/kg]"
0.10000,3.61851854e-04,2.14246104e-05,3.12875468e+03
0.20000,7.25178013e-04,2.14159169e-05,3.12660874e+03
0.30000,1.08999733e-03,2.14072844e-05,3.12445027e+03
0.40000,1.45632899e-03,2.13987132e-05,3.12227912e+03
0.50000,1.82419279e-03,2.13902038e-05,3.12009512e+03
0.60000,2.19360901e-03,2.13817566e-05,3.11789811e+03
0.70000,2.56459798e-03,2.13733720e-05,3.11568794e+03
0.80000,2.93718128e-03,2.13650505e-05,3.11346443e+03
0.90000,3.31138010e-03,2.13567926e-05,3.11122745e+03
1.00000,3.68721699e-03,2.13485988e-05,3.10897681e+03
1.10000,4.06471436e-03,2.13404695e-05,3.10671237e+03
1.20000,4.44389536e-03,2.13324053e-05,3.10443397e+03
1.30000,4.82478319e-03,2.13244066e-05,3.10214144e+03
1.40000,5.20740296e-03,2.13164740e-05,3.09983463e+03
1.50000,5.59177898e-03,2.13086081e-05,3.09751338e+03
1.60000,5.97793654e-03,2.13008094e-05,3.09517752e+03
1.70000,6.36590152e-03,2.12930785e-05,3.09282690e+03
1.80000,6.75569992e-03,2.12854159e-05,3.09046135e+03
1.90000,7.14735972e-03,2.12778223e-05,3.08808072e+03
2.00000,7.54090810e-03,2.12702983e-05,3.08568483e+03
2.10000,7.93637289e-03,2.12628445e-05,3.08327354e+03
2.20000,8.33378441e-03,2.12554617e-05,3.08084666e+03
2.30000,8.73317034e-03,2.12481504e-05,3.07840404e+03
2.40000,9.13456281e-03,2.12409114e-05,3.07594551e+03
2.50000,9.53799084e-03,2.12337453e-05,3.07347091e+03
2.60000,9.94348700e-03,2.12266531e-05,3.07098005e+03
2.70000,1.03510846e-02,2.12196352e-05,3.06847277e+03
2.80000,1.07608148e-02,2.12126927e-05,3.06594889e+03
2.90000,1.11727134e-02,2.12058262e-05,3.06340824e+03
3.00000,1.15868130e-02,2.11990367e-05,3.06085064e+03
3.10000,1.20031500e-02,2.11923249e-05,3.05827590e+03
3.20000,1.24217618e-02,2.11856917e-05,3.05568384e+03
3.30000,1.28426834e-02,2.11791381e-05,3.05307427e+03
3.40000,1.32659549e-02,2.11726650e-05,3.05044700e+03
3.50000,1.36916130e-02,2.11662733e-05,3.04780183e+03
3.60000,1.41196988e-02,2.11599640e-05,3.04513856e+03
3.70000,1.45502539e-02,2.11537382e-05,3.04245698e+03
3.80000,1.49833182e-02,2.11475970e-05,3.03975689e+03
3.90000,1.54189366e-02,2.11415413e-05,3.03703806e+03
4.00000,1.58571509e-02,2.11355723e-05,3.03430029e+03
4.10000,1.62980073e-02,2.11296913e-05,3.03154334e+03
4.20000,1.67415518e-02,2.11238993e-05,3.02876697e+03
4.30000,1.71878341e-02,2.11181976e-05,3.02597094e+03
4.40000,1.76368985e-02,2.11125874e-05,3.02315501e+03
4.50000,1.80887971e-02,2.11070702e-05,3.02031893e+03
4.60000,1.85435810e-02,2.11016472e-05,3.01746244e+03
