"pressure [MPa]","density [g/ml]","viscosity [Pa*s]","enthalpy [kJ/kg]"
0.01000,3.61193678e-05,2.14324862e-05,3.13067545e+03
0.02000,7.22533125e-05,2.14316087e-05,3.13046252e+03
0.03000,1.08401853e-04,2.14307318e-05,3.13024947e+03
0.04000,1.44565006e-04,2.14298555e-05,3.13003630e+03
0.05000,1.80742798e-04,2.14289798e-05,3.12982300e+03
0.06000,2.16935227e-04,2.14281047e-05,3.12960959e+03
0.07000,2.53142338e-04,2.14272302e-05,3.12939604e+03
0.08000,2.89364123e-04,2.14263563e-05,3.12918238e+03
0.09000,3.25600640e-04,2.14254830e-05,3.12896859e+03
0.10000,3.61851854e-04,2.14246104e-05,3.12875468e+03
0.11000,3.98117811e-04,2.14237383e-05,3.12854065e+03
0.12000,4.34398529e-04,2.14228668e-05,3.12832649e+03
0.13000,4.70694027e-04,2.14219960e-05,3.12811221e+03
0.14000,5.07004351e-04,2.14211257e-05,3.12789780e+03
0.15000,5.43329492e-04,2.14202561e-05,3.12768327e+03
0.16000,5.79669416e-04,2.14193870e-05,3.12746861e+03
0.17000,6.16024249e-04,2.14185186e-05,3.12725383e+03
0.18000,6.52393956e-04,2.14176508e-05,3.12703893e+03
0.19000,6.88778501e-04,2.14167835e-05,3.12682390e+03
0.20000,7.25178013e-04,2.14159169e-05,3.12660874e+03
0.21000,7.61592401e-04,2.14150509e-05,3.12639346e+03
0.22000,7.98021794e-04,2.14141855e-05,3.12617806e+03
0.23000,8.34466155e-04,2.14133208e-05,3.12596252e+03
0.24000,8.70925451e-04,2.14124566e-05,3.12574687e+03
0.25000,9.07399809e-04,2.14115930e-05,3.12553108e+03
0.26000,9.43889139e-04,2.14107301e-05,3.12531518e+03
0.27000,9.80393623e-04,2.14098677e-05,3.12509914e+03
0.28000,1.01691306e-03,2.14090060e-05,3.12488298e+03
0.29000,1.05344759e-03,2.14081449e-05,3.12466669e+03
0.30000,1.08999733e-03,2.14072844e-05,3.12445027e+03
0.31000,1.12656208e-03,2.14064245e-05,3.12423373e+03
0.32000,1.16314198e-03,2.14055653e-05,3.12401706e+03
0.33000,1.19973715e-03,2.14047066e-05,3.12380027e+03
0.34000,1.23634739e-03,2.14038486e-05,3.12358335e+03
0.35000,1.27297284e-03,2.14029911e-05,3.12336629e+03
0.36000,1.30961361e-03,2.14021343e-05,3.12314912e+03
0.37000,1.34626952e-03,2.14012781e-05,3.12293181e+03
0.38000,1.38294069e-03,2.14004225e-05,3.12271437e+03
0.39000,1.41962713e-03,2.13995676e-05,3.12249681e+03
0.40000,1.45632899e-03,2.13987132e-05,3.12227912e+03
0.41000,1.49304607e-03,2.13978595e-05,3.12206130e+03
0.42000,1.52977848e-03,2.13970064e-05,3.12184335e+03
0.43000,1.56652636e-03,2.13961539e-05,3.12162528e+03
0.44000,1.60328951e-03,2.13953020e-05,3.12140707e+03
0.45000,1.64006807e-03,2.13944508e-05,3.12118874e+03
0.46000,1.67686216e-03,2.13936001e-05,3.12097027e+03
0.47000,1.71367157e-03,2.13927501e-05,3.12075168e+03
0.48000,1.75049645e-03,2.13919007e-05,3.12053296e+03
0.49000,1.78733692e-03,2.13910520e-05,3.12031410e+03
0.50000,1.82419279e-03,2.13902038e-05,3.12009512e+03
0.51000,1.86106417e-03,2.13893563e-05,3.11987601e+03
0.52000,1.89795110e-03,2.13885094e-05,3.11965676e+03
0.53000,1.93485360e-03,2.13876631e-05,3.11943739e+03
0.54000,1.97177190e-03,2.13868174e-05,3.11921789e+03
0.55000,2.00870558e-03,2.13859724e-05,3.11899825e+03
0.56000,2.04565489e-03,2.13851280e-05,3.11877849e+03
0.57000,2.08261984e-03,2.13842842e-05,3.11855859e+03
0.58000,2.11960046e-03,2.13834410e-05,3.11833856e+03
0.59000,2.15659677e-03,2.13825985e-05,3.11811840e+03
0.60000,2.19360901e-03,2.13817566e-05,3.11789811e+03
0.61000,2.23063675e-03,2.13809153e-05,3.11767769e+03
0.62000,2.26768025e-03,2.13800746e-05,3.11745713e+03
0.63000,2.30473952e-03,2.13792346e-05,3.11723645e+03
0.64000,2.34181458e-03,2.13783952e-05,3.11701563e+03
0.65000,2.37890545e-03,2.13775564e-05,3.11679468e+03
0.66000,2.41601238e-03,2.13767183e-05,3.11657360e+03
0.67000,2.45313494e-03,2.13758808e-05,3.11635238e+03
0.68000,2.49027338e-03,2.13750439e-05,3.11613103e+03
0.69000,2.52742772e-03,2.13742076e-05,3.11590955e+03
0.70000,2.56459798e-03,2.13733720e-05,3.11568794e+03
0.71000,2.60178418e-03,2.13725370e-05,3.11546619e+03
0.72000,2.63898656e-03,2.13717027e-05,3.11524431e+03
0.73000,2.67620470e-03,2.13708689e-05,3.11502229e+03
0.74000,2.71343885e-03,2.13700358e-05,3.11480014e+03
0.75000,2.75068903e-03,2.13692034e-05,3.11457786e+03
0.76000,2.78795525e-03,2.13683715e-05,3.11435544e+03
0.77000,2.82523754e-03,2.13675403e-05,3.11413289e+03
0.78000,2.86253593e-03,2.13667098e-05,3.11391021e+03
0.79000,2.89985065e-03,2.13658798e-05,3.11368739e+03
0.80000,2.93718128e-03,2.13650505e-05,3.11346443e+03
0.81000,2.97452807e-03,2.13642219e-05,3.11324134e+03
0.82000,3.01189104e-03,2.13633939e-05,3.11301812e+03
0.83000,3.04927021e-03,2.13625665e-05,3.11279476e+03
0.84000,3.08666560e-03,2.13617397e-05,3.11257127e+03
0.85000,3.12407746e-03,2.13609136e-05,3.11234763e+03
0.86000,3.16150537e-03,2.13600881e-05,3.11212387e+03
0.87000,3.19894956e-03,2.13592633e-05,3.11189997e+03
0.88000,3.23641007e-03,2.13584391e-05,3.11167593e+03
0.89000,3.27388690e-03,2.13576156e-05,3.11145176e+03
0.90000,3.31138010e-03,2.13567926e-05,3.11122745e+03
0.91000,3.34888989e-03,2.13559704e-05,3.11100300e+03
0.92000,3.38641586e-03,2.13551487e-05,3.11077842e+03
0.93000,3.42395826e-03,2.13543277e-05,3.11055370e+03
0.94000,3.46151710e-03,2.13535074e-05,3.11032884e+03
0.95000,3.49909241e-03,2.13526877e-05,3.11010384e+03
0.96000,3.53668421e-03,2.13518686e-05,3.10987871e+03
0.97000,3.57429275e-03,2.13510502e-05,3.10965344e+03
0.98000,3.61191759e-03,2.13502324e-05,3.10942804e+03
0.99000,3.64955900e-03,2.13494153e-05,3.10920249e+03
1.00000,3.68721699e-03,2.13485988e-05,3.10897681e+03
1.01000,3.72489158e-03,2.13477830e-05,3.10875099e+03
1.02000,3.76258280e-03,2.13469678e-05,3.10852503e+03
1.03000,3.80029067e-03,2.13461532e-05,3.10829894e+03
1.04000,3.83801522e-03,2.13453393e-05,3.10807270e+03
1.05000,3.87575646e-03,2.13445261e-05,3.10784633e+03
1.06000,3.91351442e-03,2.13437135e-05,3.10761982e+03
1.07000,3.95128957e-03,2.13429015e-05,3.10739316e+03
1.08000,3.98908104e-03,2.13420902e-05,3.10716637e+03
1.09000,4.02688929e-03,2.13412795e-05,3.10693944e+03
1.10000,4.06471436e-03,2.13404695e-05,3.10671237e+03
1.11000,4.10255627e-03,2.13396602e-05,3.10648516e+03
1.12000,4.14041503e-03,2.13388514e-05,3.10625781e+03
