"pressure [MPa]","density [g/ml]","viscosity [Pa*s]","enthalpy [kJ/kg]"
10.00000,4.97686053e-02,2.10165172e-05,2.81982663e+03
20.00000,6.75118041e-01,7.97309589e-05,1.48626670e+03
30.00000,6.99483594e-01,8.38123559e-05,1.47121512e+03
40.00000,7.18581001e-01,8.71896133e-05,1.46173208e+03
50.00000,7.34546262e-01,9.01467786e-05,1.45555050e+03
60.00000,7.48409946e-01,9.28220237e-05,1.45157920e+03
70.00000,7.60737745e-01,9.52904804e-05,1.44920974e+03
80.00000,7.71880238e-01,9.75982894e-05,1.44806011e+03
90.00000,7.82077590e-01,9.97772158e-05,1.44787191e+03
100.00000,7.91506741e-01,1.01851187e-04,1.44846252e+03
