"pressure [MPa]","density [g/ml]","viscosity [Pa*s]","enthalpy [kJ/kg]"
1.00000,3.68721699e-03,2.13485988e-05,3.10897681e+03
2.00000,7.54090810e-03,2.12702983e-05,3.08568483e+03
3.00000,1.15868130e-02,2.11990367e-05,3.06085064e+03
4.00000,1.58571509e-02,2.11355723e-05,3.03430029e+03
5.00000,2.03926482e-02,2.10809261e-05,3.00582666e+03
6.00000,2.52459322e-02,2.10364925e-05,2.97515701e+03
7.00000,3.04872619e-02,2.10042162e-05,2.94190858e+03
8.00000,3.62142165e-02,2.09868963e-05,2.90553192e+03
9.00000,4.25685637e-02,2.09887480e-05,2.86523306e+03
10.00000,4.97686053e-02,2.10165172e-05,2.81982663e+03
11.00000,5.81823105e-02,2.10819874e-05,2.76735611e+03
12.00000,6.85325860e-02,2.12089649e-05,2.70390956e+03
13.00000,6.52010524e-01,7.60677377e-05,1.50317056e+03
14.00000,6.55795399e-01,7.66550931e-05,1.50024162e+03
15.00000,6.59388315e-01,7.72171007e-05,1.49751752e+03
16.00000,6.62811539e-01,7.77566790e-05,1.49497430e+03
17.00000,6.66082580e-01,7.82761006e-05,1.49259264e+03
18.00000,6.69215940e-01,7.87772401e-05,1.49035638e+03
19.00000,6.72224096e-01,7.92617150e-05,1.48825172e+03
20.00000,6.75118041e-01,7.97309589e-05,1.48626670e+03
21.00000,6.77907570e-01,8.01862592e-05,1.48439087e+03
22.00000,6.80601436e-01,8.06287752e-05,1.48261505e+03
23.00000,6.83207452e-01,8.10595481e-05,1.48093119e+03
24.00000,6.85732565e-01,8.14795082e-05,1.47933220e+03
25.00000,6.88182933e-01,8.18894820e-05,1.47781180e+03
26.00000,6.90564002e-01,8.22902009e-05,1.47636447e+03
27.00000,6.92880581e-01,8.26823101e-05,1.47498529e+03
28.00000,6.95136924e-01,8.30663792e-05,1.47366989e+03
29.00000,6.97336806e-01,8.34429120e-05,1.47241434e+03
30.00000,6.99483594e-01,8.38123559e-05,1.47121512e+03
31.00000,7.01580306e-01,8.41751111e-05,1.47006902e+03
32.00000,7.03629671e-01,8.45315385e-05,1.46897312e+03
33.00000,7.05634173e-01,8.48819657e-05,1.46792476e+03
34.00000,7.07596088e-01,8.52266929e-05,1.46692147e+03
35.00000,7.09517514e-01,8.55659972e-05,1.46596099e+03
36.00000,7.11400398e-01,8.59001357e-05,1.46504121e+03
37.00000,7.13246550e-01,8.62293486e-05,1.46416019e+03
38.00000,7.15057663e-01,8.65538606e-05,1.46331610e+03
39.00000,7.16835319e-01,8.68738827e-05,1.46250726e+03
40.00000,7.18581001e-01,8.71896133e-05,1.46173208e+03
41.00000,7.20296101e-01,8.75012387e-05,1.46098909e+03
42.00000,7.21981922e-01,8.78089342e-05,1.46027692e+03
43.00000,7.23639687e-01,8.81128645e-05,1.45959428e+03
44.00000,7.25270542e-01,8.84131838e-05,1.45893997e+03
45.00000,7.26875562e-01,8.87100373e-05,1.45831286e+03
46.00000,7.28455754e-01,8.90035606e-05,1.45771190e+03
47.00000,7.30012061e-01,8.92938809e-05,1.45713608e+03
48.00000,7.31545370e-01,8.95811174e-05,1.45658448e+03
49.00000,7.33056510e-01,8.98653818e-05,1.45605623e+03
50.00000,7.34546262e-01,9.01467786e-05,1.45555050e+03
51.00000,7.36015358e-01,9.04254060e-05,1.45506651e+03
52.00000,7.37464490e-01,9.07013561e-05,1.45460352e+03
53.00000,7.38894308e-01,9.09747157e-05,1.45416083e+03
54.00000,7.40305425e-01,9.12455664e-05,1.45373780e+03
55.00000,7.41698424e-01,9.15139853e-05,1.45333379e+03
56.00000,7.43073853e-01,9.17800452e-05,1.45294820e+03
57.00000,7.44432235e-01,9.20438151e-05,1.45258048e+03
58.00000,7.45774067e-01,9.23053604e-05,1.45223007e+03
59.00000,7.47099820e-01,9.25647435e-05,1.45189648e+03
60.00000,7.48409946e-01,9.28220237e-05,1.45157920e+03
61.00000,7.49704873e-01,9.30772574e-05,1.45127777e+03
62.00000,7.50985012e-01,9.33304987e-05,1.45099173e+03
63.00000,7.52250758e-01,9.35817993e-05,1.45072066e+03
64.00000,7.53502486e-01,9.38312086e-05,1.45046415e+03
65.00000,7.54740558e-01,9.40787743e-05,1.45022181e+03
66.00000,7.55965320e-01,9.43245417e-05,1.44999324e+03
67.00000,7.57177106e-01,9.45685547e-05,1.44977809e+03
68.00000,7.58376235e-01,9.48108555e-05,1.44957602e+03
69.00000,7.59563016e-01,9.50514843e-05,1.44938667e+03
70.00000,7.60737745e-01,9.52904804e-05,1.44920974e+03
71.00000,7.61900707e-01,9.55278812e-05,1.44904491e+03
72.00000,7.63052177e-01,9.57637229e-05,1.44889189e+03
73.00000,7.64192421e-01,9.59980406e-05,1.44875037e+03
74.00000,7.65321694e-01,9.62308679e-05,1.44862010e+03
75.00000,7.66440244e-01,9.64622375e-05,1.44850079e+03
76.00000,7.67548310e-01,9.66921809e-05,1.44839220e+03
77.00000,7.68646123e-01,9.69207287e-05,1.44829407e+03
78.00000,7.69733905e-01,9.71479104e-05,1.44820616e+03
79.00000,7.70811873e-01,9.73737547e-05,1.44812825e+03
80.00000,7.71880238e-01,9.75982894e-05,1.44806011e+03
81.00000,7.72939201e-01,9.78215414e-05,1.44800153e+03
82.00000,7.73988959e-01,9.80435372e-05,1.44795228e+03
83.00000,7.75029706e-01,9.82643021e-05,1.44791219e+03
84.00000,7.76061625e-01,9.84838612e-05,1.44788104e+03
85.00000,7.77084899e-01,9.87022387e-05,1.44785865e+03
86.00000,7.78099703e-01,9.89194584e-05,1.44784483e+03
87.00000,7.79106209e-01,9.91355435e-05,1.44783942e+03
88.00000,7.80104584e-01,9.93505167e-05,1.44784224e+03
89.00000,7.81094992e-01,9.95644002e-05,1.44785312e+03
90.00000,7.82077590e-01,9.97772158e-05,1.44787191e+03
91.00000,7.83052536e-01,9.99889849e-05,1.44789845e+03
92.00000,7.84019981e-01,1.00199729e-04,1.44793258e+03
93.00000,7.84980075e-01,1.00409468e-04,1.44797416e+03
94.00000,7.85932961e-01,1.00618223e-04,1.44802306e+03
95.00000,7.86878784e-01,1.00826013e-04,1.44807912e+03
96.00000,7.87817683e-01,1.01032859e-04,1.44814223e+03
97.00000,7.88749795e-01,1.01238781e-04,1.44821225e+03
98.00000,7.89675255e-01,1.01443796e-04,1.44828905e+03
99.00000,7.90594193e-01,1.01647925e-04,1.44837251e+03
100.00000,7.91506741e-01,1.01851187e-04,1.44846252e+03
