size,8,32,128,256,512,1024
cg_none,6.201634975843e+00,9.018597335486e+01,9.859717744940e+02,9.924492930255e+03,9.994877309718e+04,9.999634316936e+04
cg_jacobi,6.201634975843e+00,9.018597335486e+01,9.859717744940e+02,9.924492930255e+03,9.994877309718e+04,9.999634316936e+04
cg_sor,7.665818166067e+00,7.996546123075e+00,9.894123850570e+02,9.857530513846e+02,9.898513241084e+02,9.925262728631e+02
cg_ilu,3.608448411695e+00,7.756320369317e+00,9.579683362442e+01,9.976709677081e+02,9.983870537701e+02,9.991353280875e+02
cg_icc,3.608448411695e+00,7.756320369317e+00,9.579683362442e+01,9.976709677079e+02,9.983870537704e+02,9.991353280869e+02
cg_gamg,1.382191990315e+00,1.564751161442e+00,1.773847571906e+00,1.861926743988e+00,2.049245497289e+00,2.312547519257e+00
gmres_none,8.502360951401e+00,9.823819278051e+01,9.950373307118e+01,9.954737795609e+02,9.988762352628e+04,9.987635504032e+03
gmres_jacobi,8.502360951401e+00,9.823819278051e+01,9.950373307118e+01,9.954737795609e+02,9.988762352628e+04,9.987635504032e+03
gmres_sor,7.534381748857e+00,9.387071616993e+00,9.811066009432e+02,9.726393405900e+02,9.900861547045e+03,9.902120643160e+03
gmres_ilu,3.584548157649e+00,9.549858748400e+00,9.574221468528e+00,9.572137382184e+00,9.791992863538e+02,9.914854733004e+03
gmres_icc,3.584548157649e+00,9.549858748400e+00,9.574221468528e+00,9.572137382184e+00,9.791992863536e+02,9.914854732126e+03
gmres_gamg,1.427879823323e+00,1.743970990350e+00,2.026306080540e+00,2.402859260706e+00,2.358475990031e+00,2.721013467021e+00
