"pressure [MPa]","density [g/ml]","viscosity [Pa*s]","enthalpy [kJ/kg]"
0.10000,5.47583491e-04,1.32775953e-05,2.73039785e+03
0.20000,1.10801757e-03,1.31997361e-05,2.72054546e+03
0.30000,9.37511867e-01,2.18637832e-04,5.32983718e+02
0.40000,9.37563213e-01,2.18664077e-04,5.33052202e+02
0.50000,9.37614542e-01,2.18690318e-04,5.33120694e+02
0.60000,9.37665853e-01,2.18716554e-04,5.33189194e+02
0.70000,9.37717146e-01,2.18742785e-04,5.33257701e+02
0.80000,9.37768421e-01,2.18769012e-04,5.33326216e+02
0.90000,9.37819679e-01,2.18795235e-04,5.33394738e+02
1.00000,9.37870919e-01,2.18821453e-04,5.33463268e+02
1.10000,9.37922142e-01,2.18847668e-04,5.33531805e+02
1.20000,9.37973347e-01,2.18873877e-04,5.33600350e+02
1.30000,9.38024534e-01,2.18900083e-04,5.33668903e+02
1.40000,9.38075704e-01,2.18926284e-04,5.33737463e+02
1.50000,9.38126856e-01,2.18952480e-04,5.33806030e+02
1.60000,9.38177991e-01,2.18978673e-04,5.33874605e+02
1.70000,9.38229108e-01,2.19004861e-04,5.33943188e+02
1.80000,9.38280208e-01,2.19031044e-04,5.34011778e+02
1.90000,9.38331290e-01,2.19057224e-04,5.34080375e+02
2.00000,9.38382354e-01,2.19083399e-04,5.34148980e+02
2.10000,9.38433402e-01,2.19109569e-04,5.34217592e+02
2.20000,9.38484431e-01,2.19135736e-04,5.34286212e+02
2.30000,9.38535444e-01,2.19161898e-04,5.34354839e+02
2.40000,9.38586439e-01,2.19188056e-04,5.34423474e+02
2.50000,9.38637416e-01,2.19214210e-04,5.34492116e+02
2.60000,9.38688376e-01,2.19240359e-04,5.34560765e+02
2.70000,9.38739319e-01,2.19266504e-04,5.34629422e+02
2.80000,9.38790244e-01,2.19292645e-04,5.34698086e+02
2.90000,9.38841153e-01,2.19318781e-04,5.34766757e+02
3.00000,9.38892043e-01,2.19344914e-04,5.34835436e+02
3.10000,9.38942917e-01,2.19371042e-04,5.34904122e+02
3.20000,9.38993773e-01,2.19397166e-04,5.34972815e+02
3.30000,9.39044612e-01,2.19423285e-04,5.35041516e+02
3.40000,9.39095434e-01,2.19449401e-04,5.35110224e+02
3.50000,9.39146238e-01,2.19475512e-04,5.35178939e+02
3.60000,9.39197025e-01,2.19501619e-04,5.35247662e+02
3.70000,9.39247795e-01,2.19527722e-04,5.35316392e+02
3.80000,9.39298548e-01,2.19553821e-04,5.35385129e+02
3.90000,9.39349284e-01,2.19579915e-04,5.35453873e+02
4.00000,9.39400002e-01,2.19606005e-04,5.35522624e+02
4.10000,9.39450704e-01,2.19632091e-04,5.35591383e+02
4.20000,9.39501388e-01,2.19658173e-04,5.35660149e+02
4.30000,9.39552055e-01,2.19684251e-04,5.35728922e+02
4.40000,9.39602706e-01,2.19710325e-04,5.35797703e+02
4.50000,9.39653339e-01,2.19736394e-04,5.35866490e+02
4.60000,9.39703954e-01,2.19762460e-04,5.35935285e+02
4.70000,9.39754553e-01,2.19788521e-04,5.36004087e+02
4.80000,9.39805136e-01,2.19814578e-04,5.36072896e+02
4.90000,9.39855700e-01,2.19840631e-04,5.36141712e+02
5.00000,9.39906248e-01,2.19866680e-04,5.36210535e+02
5.10000,9.39956779e-01,2.19892724e-04,5.36279365e+02
5.20000,9.40007293e-01,2.19918765e-04,5.36348203e+02
5.30000,9.40057790e-01,2.19944801e-04,5.36417048e+02
5.40000,9.40108271e-01,2.19970834e-04,5.36485899e+02
5.50000,9.40158734e-01,2.19996862e-04,5.36554758e+02
5.60000,9.40209180e-01,2.20022886e-04,5.36623624e+02
5.70000,9.40259609e-01,2.20048907e-04,5.36692496e+02
5.80000,9.40310022e-01,2.20074923e-04,5.36761377e+02
5.90000,9.40360418e-01,2.20100935e-04,5.36830264e+02
6.00000,9.40410797e-01,2.20126943e-04,5.36899157e+02
6.10000,9.40461159e-01,2.20152947e-04,5.36968058e+02
6.20000,9.40511504e-01,2.20178947e-04,5.37036966e+02
6.30000,9.40561833e-01,2.20204943e-04,5.37105881e+02
6.40000,9.40612144e-01,2.20230934e-04,5.37174803e+02
6.50000,9.40662439e-01,2.20256922e-04,5.37243732e+02
6.60000,9.40712717e-01,2.20282906e-04,5.37312668e+02
6.70000,9.40762979e-01,2.20308886e-04,5.37381611e+02
6.80000,9.40813224e-01,2.20334861e-04,5.37450561e+02
6.90000,9.40863452e-01,2.20360833e-04,5.37519518e+02
7.00000,9.40913663e-01,2.20386801e-04,5.37588481e+02
