"pressure [MPa]","density [g/ml]","viscosity [Pa*s]","enthalpy [kJ/kg]"
10.00000,9.42412323e-01,2.21164003e-04,5.39660562e+02
20.00000,9.47304423e-01,2.23730599e-04,5.46609202e+02
30.00000,9.52046939e-01,2.26263718e-04,5.53615595e+02
40.00000,9.56650590e-01,2.28767252e-04,5.60672457e+02
50.00000,9.61124537e-01,2.31244409e-04,5.67773563e+02
60.00000,9.65476906e-01,2.33697969e-04,5.74913531e+02
70.00000,9.69715210e-01,2.36130500e-04,5.82087679e+02
80.00000,9.73846667e-01,2.38544537e-04,5.89291917e+02
90.00000,9.77878428e-01,2.40942726e-04,5.96522687e+02
100.00000,9.81817727e-01,2.43327930e-04,6.03776913e+02
