"pressure [MPa]","density [g/ml]","viscosity [Pa*s]","enthalpy [kJ/kg]"
1.00000,9.37870919e-01,2.18821453e-04,5.33463268e+02
2.00000,9.38382354e-01,2.19083399e-04,5.34148980e+02
3.00000,9.38892043e-01,2.19344914e-04,5.34835436e+02
4.00000,9.39400002e-01,2.19606005e-04,5.35522624e+02
5.00000,9.39906248e-01,2.19866680e-04,5.36210535e+02
6.00000,9.40410797e-01,2.20126943e-04,5.36899157e+02
7.00000,9.40913663e-01,2.20386801e-04,5.37588481e+02
8.00000,9.41414863e-01,2.20646260e-04,5.38278496e+02
9.00000,9.41914412e-01,2.20905325e-04,5.38969193e+02
10.00000,9.42412323e-01,2.21164003e-04,5.39660562e+02
11.00000,9.42908612e-01,2.21422299e-04,5.40352593e+02
12.00000,9.43403293e-01,2.21680217e-04,5.41045278e+02
13.00000,9.43896378e-01,2.21937764e-04,5.41738606e+02
14.00000,9.44387883e-01,2.22194944e-04,5.42432569e+02
15.00000,9.44877819e-01,2.22451763e-04,5.43127159e+02
16.00000,9.45366200e-01,2.22708225e-04,5.43822366e+02
17.00000,9.45853039e-01,2.22964335e-04,5.44518182e+02
18.00000,9.46338347e-01,2.23220097e-04,5.45214599e+02
19.00000,9.46822138e-01,2.23475517e-04,5.45911608e+02
20.00000,9.47304423e-01,2.23730599e-04,5.46609202e+02
21.00000,9.47785214e-01,2.23985346e-04,5.47307372e+02
22.00000,9.48264523e-01,2.24239764e-04,5.48006111e+02
23.00000,9.48742360e-01,2.24493856e-04,5.48705411e+02
24.00000,9.49218737e-01,2.24747627e-04,5.49405264e+02
25.00000,9.49693665e-01,2.25001080e-04,5.50105663e+02
26.00000,9.50167155e-01,2.25254220e-04,5.50806600e+02
27.00000,9.50639217e-01,2.25507050e-04,5.51508069e+02
28.00000,9.51109862e-01,2.25759574e-04,5.52210063e+02
29.00000,9.51579099e-01,2.26011795e-04,5.52912574e+02
30.00000,9.52046939e-01,2.26263718e-04,5.53615595e+02
31.00000,9.52513391e-01,2.26515345e-04,5.54319121e+02
32.00000,9.52978466e-01,2.26766681e-04,5.55023143e+02
33.00000,9.53442173e-01,2.27017728e-04,5.55727656e+02
34.00000,9.53904521e-01,2.27268490e-04,5.56432654e+02
35.00000,9.54365520e-01,2.27518970e-04,5.57138129e+02
36.00000,9.54825179e-01,2.27769171e-04,5.57844076e+02
