"pressure [MPa]","density [g/ml]","viscosity [Pa*s]","enthalpy [kJ/kg]"
0.01000,2.70858553e-05,2.96548721e-05,3.54714570e+03
0.02000,5.41752938e-05,2.96551114e-05,3.54704781e+03
0.03000,8.12683170e-05,2.96553510e-05,3.54694991e+03
0.04000,1.08364926e-04,2.96555910e-05,3.54685199e+03
0.05000,1.35465127e-04,2.96558313e-05,3.54675407e+03
0.06000,1.62568906e-04,2.96560721e-05,3.54665614e+03
0.07000,1.89676284e-04,2.96563132e-05,3.54655820e+03
0.08000,2.16787243e-04,2.96565547e-05,3.54646025e+03
0.09000,2.43901814e-04,2.96567966e-05,3.54636229e+03
0.10000,2.71019958e-04,2.96570389e-05,3.54626432e+03
0.11000,2.98141696e-04,2.96572816e-05,3.54616634e+03
0.12000,3.25267030e-04,2.96575246e-05,3.54606835e+03
0.13000,3.52395961e-04,2.96577680e-05,3.54597035e+03
0.14000,3.79528509e-04,2.96580118e-05,3.54587234e+03
0.15000,4.06664657e-04,2.96582560e-05,3.54577432e+03
0.16000,4.33804365e-04,2.96585006e-05,3.54567630e+03
0.17000,4.60947715e-04,2.96587455e-05,3.54557826e+03
0.18000,4.88094668e-04,2.96589909e-05,3.54548021e+03
0.19000,5.15245184e-04,2.96592366e-05,3.54538215e+03
0.20000,5.42399346e-04,2.96594827e-05,3.54528409e+03
0.21000,5.69557074e-04,2.96597292e-05,3.54518601e+03
0.22000,5.96718451e-04,2.96599760e-05,3.54508792e+03
0.23000,6.23883436e-04,2.96602233e-05,3.54498983e+03
0.24000,6.51051991e-04,2.96604709e-05,3.54489172e+03
0.25000,6.78224198e-04,2.96607189e-05,3.54479361e+03
0.26000,7.05399977e-04,2.96609673e-05,3.54469548e+03
0.27000,7.32579452e-04,2.96612161e-05,3.54459735e+03
0.28000,7.59762460e-04,2.96614653e-05,3.54449920e+03
0.29000,7.86949085e-04,2.96617148e-05,3.54440105e+03
0.30000,8.14139408e-04,2.96619647e-05,3.54430288e+03
0.31000,8.41333269e-04,2.96622150e-05,3.54420471e+03
0.32000,8.68530750e-04,2.96624657e-05,3.54410652e+03
0.33000,8.95731934e-04,2.96627168e-05,3.54400833e+03
0.34000,9.22936659e-04,2.96629683e-05,3.54391013e+03
0.35000,9.50145008e-04,2.96632201e-05,3.54381191e+03
0.36000,9.77357063e-04,2.96634724e-05,3.54371369e+03
0.37000,1.00457266e-03,2.96637250e-05,3.54361546e+03
0.38000,1.03179189e-03,2.96639780e-05,3.54351722e+03
0.39000,1.05901475e-03,2.96642314e-05,3.54341896e+03
0.40000,1.08624132e-03,2.96644851e-05,3.54332070e+03
0.41000,1.11347143e-03,2.96647393e-05,3.54322243e+03
0.42000,1.14070518e-03,2.96649938e-05,3.54312415e+03
0.43000,1.16794265e-03,2.96652488e-05,3.54302585e+03
0.44000,1.19518367e-03,2.96655041e-05,3.54292755e+03
0.45000,1.22242832e-03,2.96657598e-05,3.54282924e+03
0.46000,1.24967670e-03,2.96660158e-05,3.54273092e+03
0.47000,1.27692863e-03,2.96662723e-05,3.54263259e+03
0.48000,1.30418420e-03,2.96665292e-05,3.54253425e+03
0.49000,1.33144349e-03,2.96667864e-05,3.54243590e+03
0.50000,1.35870635e-03,2.96670440e-05,3.54233753e+03
0.51000,1.38597284e-03,2.96673020e-05,3.54223916e+03
0.52000,1.41324299e-03,2.96675604e-05,3.54214078e+03
0.53000,1.44051678e-03,2.96678192e-05,3.54204239e+03
0.54000,1.46779438e-03,2.96680783e-05,3.54194399e+03
0.55000,1.49507546e-03,2.96683379e-05,3.54184558e+03
0.56000,1.52236020e-03,2.96685978e-05,3.54174716e+03
0.57000,1.54964858e-03,2.96688581e-05,3.54164873e+03
0.58000,1.57694062e-03,2.96691188e-05,3.54155029e+03
0.59000,1.60423632e-03,2.96693799e-05,3.54145184e+03
0.60000,1.63153583e-03,2.96696414e-05,3.54135338e+03
0.61000,1.65883883e-03,2.96699033e-05,3.54125491e+03
0.62000,1.68614549e-03,2.96701655e-05,3.54115643e+03
0.63000,1.71345581e-03,2.96704282e-05,3.54105794e+03
0.64000,1.74076979e-03,2.96706912e-05,3.54095944e+03
0.65000,1.76808744e-03,2.96709546e-05,3.54086093e+03
0.66000,1.79540890e-03,2.96712184e-05,3.54076241e+03
0.67000,1.82273387e-03,2.96714826e-05,3.54066388e+03
0.68000,1.85006250e-03,2.96717472e-05,3.54056534e+03
0.69000,1.87739480e-03,2.96720121e-05,3.54046679e+03
0.70000,1.90473077e-03,2.96722775e-05,3.54036823e+03
0.71000,1.93207040e-03,2.96725432e-05,3.54026966e+03
0.72000,1.95941387e-03,2.96728093e-05,3.54017108e+03
0.73000,1.98676085e-03,2.96730758e-05,3.54007249e+03
0.74000,2.01411150e-03,2.96733427e-05,3.53997389e+03
0.75000,2.04146582e-03,2.96736100e-05,3.53987528e+03
0.76000,2.06882382e-03,2.96738777e-05,3.53977666e+03
0.77000,2.09618549e-03,2.96741457e-05,3.53967803e+03
0.78000,2.12355085e-03,2.96744142e-05,3.53957939e+03
0.79000,2.15092004e-03,2.96746830e-05,3.53948074e+03
0.80000,2.17829275e-03,2.96749522e-05,3.53938208e+03
0.81000,2.20566914e-03,2.96752218e-05,3.53928341e+03
0.82000,2.23304922e-03,2.96754918e-05,3.53918472e+03
0.83000,2.26043298e-03,2.96757622e-05,3.53908603e+03
0.84000,2.28782042e-03,2.96760330e-05,3.53898733e+03
0.85000,2.31521172e-03,2.96763041e-05,3.53888862e+03
0.86000,2.34260654e-03,2.96765757e-05,3.53878990e+03
0.87000,2.37000505e-03,2.96768476e-05,3.53869117e+03
0.88000,2.39740724e-03,2.96771200e-05,3.53859243e+03
0.89000,2.42481313e-03,2.96773927e-05,3.53849368e+03
0.90000,2.45222272e-03,2.96776658e-05,3.53839492e+03
0.91000,2.47963616e-03,2.96779393e-05,3.53829614e+03
0.92000,2.50705313e-03,2.96782132e-05,3.53819736e+03
0.93000,2.53447380e-03,2.96784874e-05,3.53809857e+03
0.94000,2.56189817e-03,2.96787621e-05,3.53799977e+03
0.95000,2.58932624e-03,2.96790372e-05,3.53790096e+03
0.96000,2.61675800e-03,2.96793126e-05,3.53780214e+03
0.97000,2.64419364e-03,2.96795884e-05,3.53770330e+03
0.98000,2.67163281e-03,2.96798647e-05,3.53760446e+03
0.99000,2.69907568e-03,2.96801413e-05,3.53750561e+03
1.00000,2.72652227e-03,2.96804183e-05,3.53740674e+03
1.01000,2.75397256e-03,2.96806957e-05,3.53730787e+03
1.02000,2.78142655e-03,2.96809734e-05,3.53720899e+03
1.03000,2.80888426e-03,2.96812516e-05,3.53711009e+03
1.04000,2.83634568e-03,2.96815302e-05,3.53701119e+03
1.05000,2.86381081e-03,2.96818091e-05,3.53691228e+03
1.06000,2.89127965e-03,2.96820885e-05,3.53681335e+03
1.07000,2.91875254e-03,2.96823682e-05,3.53671442e+03
1.08000,2.94622881e-03,2.96826483e-05,3.53661547e+03
1.09000,2.97370880e-03,2.96829288e-05,3.53651652e+03
1.10000,3.00119251e-03,2.96832097e-05,3.53641755e+03
1.11000,3.02867994e-03,2.96834910e-05,3.53631858e+03
1.12000,3.05617110e-03,2.96837727e-05,3.53621959e+03
1.13000,3.08366597e-03,2.96840548e-05,3.53612060e+03
1.14000,3.11116457e-03,2.96843373e-05,3.53602159e+03
1.15000,3.13866689e-03,2.96846201e-05,3.53592257e+03
1.16000,3.16617294e-03,2.96849034e-05,3.53582355e+03
1.17000,3.19368271e-03,2.96851870e-05,3.53572451e+03
1.18000,3.22119622e-03,2.96854711e-05,3.53562546e+03
1.19000,3.24871378e-03,2.96857555e-05,3.53552641e+03
1.20000,3.27623475e-03,2.96860403e-05,3.53542734e+03
1.21000,3.30375945e-03,2.96863255e-05,3.53532826e+03
1.22000,3.33128788e-03,2.96866111e-05,3.53522917e+03
1.23000,3.35882005e-03,2.96868971e-05,3.53513007e+03
1.24000,3.38635595e-03,2.96871835e-05,3.53503096e+03
1.25000,3.41389560e-03,2.96874703e-05,3.53493185e+03
1.26000,3.44143898e-03,2.96877574e-05,3.53483272e+03
1.27000,3.46898610e-03,2.96880450e-05,3.53473358e+03
1.28000,3.49653697e-03,2.96883330e-05,3.53463443e+03
1.29000,3.52409158e-03,2.96886213e-05,3.53453527e+03
1.30000,3.55164993e-03,2.96889100e-05,3.53443609e+03
1.31000,3.57921203e-03,2.96891992e-05,3.53433691e+03
1.32000,3.60677820e-03,2.96894887e-05,3.53423772e+03
1.33000,3.63434780e-03,2.96897786e-05,3.53413852e+03
1.34000,3.66192114e-03,2.96900689e-05,3.53403931e+03
1.35000,3.68949823e-03,2.96903596e-05,3.53394008e+03
1.36000,3.71707908e-03,2.96906507e-05,3.53384085e+03
1.37000,3.74466368e-03,2.96909422e-05,3.53374161e+03
1.38000,3.77225204e-03,2.96912341e-05,3.53364235e+03
1.39000,3.79984415e-03,2.96915264e-05,3.53354309e+03
1.40000,3.82744002e-03,2.96918191e-05,3.53344381e+03
1.41000,3.85503965e-03,2.96921121e-05,3.53334453e+03
1.42000,3.88264304e-03,2.96924056e-05,3.53324523e+03
1.43000,3.91025019e-03,2.96926995e-05,3.53314593e+03
1.44000,3.93786143e-03,2.96929937e-05,3.53304661e+03
1.45000,3.96547610e-03,2.96932883e-05,3.53294728e+03
1.46000,3.99309455e-03,2.96935834e-05,3.53284795e+03
1.47000,4.02071675e-03,2.96938788e-05,3.53274860e+03
1.48000,4.04834273e-03,2.96941746e-05,3.53264924e+03
1.49000,4.07597248e-03,2.96944709e-05,3.53254987e+03
1.50000,4.10360599e-03,2.96947675e-05,3.53245049e+03
1.51000,4.13124328e-03,2.96950645e-05,3.53235110e+03
1.52000,4.15888435e-03,2.96953619e-05,3.53225170e+03
1.53000,4.18652918e-03,2.96956597e-05,3.53215229e+03
1.54000,4.21417779e-03,2.96959579e-05,3.53205287e+03
1.55000,4.24183018e-03,2.96962565e-05,3.53195344e+03
1.56000,4.26948635e-03,2.96965554e-05,3.53185400e+03
1.57000,4.29714663e-03,2.96968548e-05,3.53175454e+03
1.58000,4.32481036e-03,2.96971546e-05,3.53165508e+03
1.59000,4.35247787e-03,2.96974548e-05,3.53155561e+03
1.60000,4.38014917e-03,2.96977553e-05,3.53145612e+03
1.61000,4.40782425e-03,2.96980563e-05,3.53135663e+03
1.62000,4.43550312e-03,2.96983577e-05,3.53125712e+03
1.63000,4.46318577e-03,2.96986594e-05,3.53115761e+03
