"pressure [MPa]","density [g/ml]","viscosity [Pa*s]","enthalpy [kJ/kg]"
0.10000,2.71019958e-04,2.96570389e-05,3.54626432e+03
0.20000,5.42399346e-04,2.96594827e-05,3.54528409e+03
0.30000,8.14139408e-04,2.96619647e-05,3.54430288e+03
0.40000,1.08624132e-03,2.96644851e-05,3.54332070e+03
0.50000,1.35870635e-03,2.96670440e-05,3.54233753e+03
0.60000,1.63153583e-03,2.96696414e-05,3.54135338e+03
0.70000,1.90473077e-03,2.96722775e-05,3.54036823e+03
0.80000,2.17829275e-03,2.96749522e-05,3.53938208e+03
0.90000,2.45222272e-03,2.96776658e-05,3.53839492e+03
1.00000,2.72652227e-03,2.96804183e-05,3.53740674e+03
1.10000,3.00119251e-03,2.96832097e-05,3.53641755e+03
1.20000,3.27623475e-03,2.96860403e-05,3.53542734e+03
1.30000,3.55164993e-03,2.96889100e-05,3.53443609e+03
1.40000,3.82744002e-03,2.96918191e-05,3.53344381e+03
1.50000,4.10360599e-03,2.96947675e-05,3.53245049e+03
1.60000,4.38014917e-03,2.96977553e-05,3.53145612e+03
1.70000,4.65707087e-03,2.97007828e-05,3.53046070e+03
1.80000,4.93437208e-03,2.97038499e-05,3.52946423e+03
1.90000,5.21205480e-03,2.97069567e-05,3.52846669e+03
2.00000,5.49012005e-03,2.97101034e-05,3.52746808e+03
2.10000,5.76856884e-03,2.97132901e-05,3.52646839e+03
2.20000,6.04740352e-03,2.97165168e-05,3.52546763e+03
2.30000,6.32662413e-03,2.97197836e-05,3.52446578e+03
2.40000,6.60623336e-03,2.97230908e-05,3.52346284e+03
2.50000,6.88623126e-03,2.97264382e-05,3.52245881e+03
2.60000,7.16661987e-03,2.97298262e-05,3.52145368e+03
2.70000,7.44740125e-03,2.97332547e-05,3.52044744e+03
2.80000,7.72857547e-03,2.97367238e-05,3.51944009e+03
2.90000,8.01014526e-03,2.97402338e-05,3.51843162e+03
3.00000,8.29211070e-03,2.97437845e-05,3.51742204e+03
3.10000,8.57447386e-03,2.97473763e-05,3.51641132e+03
3.20000,8.85723686e-03,2.97510092e-05,3.51539948e+03
3.30000,9.14039976e-03,2.97546832e-05,3.51438650e+03
3.40000,9.42396536e-03,2.97583985e-05,3.51337237e+03
3.50000,9.70793375e-03,2.97621553e-05,3.51235711e+03
3.60000,9.99230705e-03,2.97659535e-05,3.51134069e+03
3.70000,1.02770874e-02,2.97697934e-05,3.51032311e+03
3.80000,1.05622749e-02,2.97736750e-05,3.50930437e+03
3.90000,1.08478724e-02,2.97775985e-05,3.50828447e+03
4.00000,1.11338801e-02,2.97815638e-05,3.50726339e+03
4.10000,1.14202999e-02,2.97855713e-05,3.50624115e+03
4.20000,1.17071336e-02,2.97896209e-05,3.50521772e+03
4.30000,1.19943839e-02,2.97937129e-05,3.50419310e+03
4.40000,1.22820495e-02,2.97978472e-05,3.50316730e+03
4.50000,1.25701335e-02,2.98020241e-05,3.50214030e+03
4.60000,1.28586372e-02,2.98062436e-05,3.50111211e+03
4.70000,1.31475623e-02,2.98105058e-05,3.50008271e+03
4.80000,1.34369116e-02,2.98148109e-05,3.49905210e+03
4.90000,1.37266840e-02,2.98191590e-05,3.49802028e+03
5.00000,1.40168822e-02,2.98235502e-05,3.49698724e+03
5.10000,1.43075080e-02,2.98279846e-05,3.49595299e+03
5.20000,1.45985628e-02,2.98324624e-05,3.49491750e+03
5.30000,1.48900496e-02,2.98369837e-05,3.49388079e+03
5.40000,1.51819672e-02,2.98415485e-05,3.49284284e+03
5.50000,1.54743186e-02,2.98461570e-05,3.49180366e+03
5.60000,1.57671053e-02,2.98508094e-05,3.49076323e+03
5.70000,1.60603290e-02,2.98555057e-05,3.48972156e+03
5.80000,1.63539926e-02,2.98602461e-05,3.48867863e+03
5.90000,1.66480949e-02,2.98650307e-05,3.48763445e+03
6.00000,1.69426391e-02,2.98698596e-05,3.48658901e+03
6.10000,1.72376266e-02,2.98747330e-05,3.48554230e+03
6.20000,1.75330591e-02,2.98796510e-05,3.48449433e+03
6.30000,1.78289397e-02,2.98846137e-05,3.48344509e+03
6.40000,1.81252672e-02,2.98896212e-05,3.48239457e+03
6.50000,1.84220445e-02,2.98946737e-05,3.48134277e+03
6.60000,1.87192735e-02,2.98997713e-05,3.48028969e+03
6.70000,1.90169557e-02,2.99049142e-05,3.47923533e+03
6.80000,1.93150942e-02,2.99101024e-05,3.47817966e+03
6.90000,1.96136879e-02,2.99153361e-05,3.47712271e+03
7.00000,1.99127398e-02,2.99206155e-05,3.47606446e+03
7.10000,2.02122516e-02,2.99259406e-05,3.47500491e+03
7.20000,2.05122251e-02,2.99313116e-05,3.47394405e+03
7.30000,2.08126634e-02,2.99367287e-05,3.47288187e+03
7.40000,2.11135653e-02,2.99421919e-05,3.47181839e+03
7.50000,2.14149339e-02,2.99477015e-05,3.47075359e+03
7.60000,2.17167709e-02,2.99532575e-05,3.46968747e+03
7.70000,2.20190782e-02,2.99588601e-05,3.46862003e+03
7.80000,2.23218588e-02,2.99645094e-05,3.46755126e+03
7.90000,2.26251116e-02,2.99702056e-05,3.46648116e+03
8.00000,2.29288399e-02,2.99759489e-05,3.46540972e+03
8.10000,2.32330467e-02,2.99817393e-05,3.46433694e+03
8.20000,2.35377296e-02,2.99875770e-05,3.46326283e+03
8.30000,2.38428960e-02,2.99934621e-05,3.46218737e+03
8.40000,2.41485419e-02,2.99993949e-05,3.46111057e+03
8.50000,2.44546750e-02,3.00053754e-05,3.46003241e+03
8.60000,2.47612941e-02,3.00114038e-05,3.45895290e+03
8.70000,2.50683981e-02,3.00174802e-05,3.45787204e+03
8.80000,2.53759945e-02,3.00236048e-05,3.45678980e+03
8.90000,2.56840795e-02,3.00297777e-05,3.45570622e+03
9.00000,2.59926605e-02,3.00359991e-05,3.45462126e+03
9.10000,2.63017366e-02,3.00422692e-05,3.45353493e+03
9.20000,2.66113065e-02,3.00485880e-05,3.45244723e+03
9.30000,2.69213781e-02,3.00549558e-05,3.45135816e+03
9.40000,2.72319471e-02,3.00613727e-05,3.45026771e+03
9.50000,2.75430215e-02,3.00678388e-05,3.44917587e+03
9.60000,2.78546001e-02,3.00743544e-05,3.44808265e+03
9.70000,2.81666817e-02,3.00809195e-05,3.44698805e+03
9.80000,2.84792742e-02,3.00875343e-05,3.44589206e+03
9.90000,2.87923734e-02,3.00941990e-05,3.44479468e+03
10.00000,2.91059872e-02,3.01009138e-05,3.44369589e+03
10.10000,2.94201146e-02,3.01076787e-05,3.44259571e+03
10.20000,2.97347543e-02,3.01144940e-05,3.44149414e+03
10.30000,3.00499143e-02,3.01213599e-05,3.44039116e+03
10.40000,3.03655905e-02,3.01282764e-05,3.43928678e+03
10.50000,3.06817907e-02,3.01352437e-05,3.43818098e+03
10.60000,3.09985139e-02,3.01422622e-05,3.43707377e+03
10.70000,3.13157590e-02,3.01493317e-05,3.43596516e+03
10.80000,3.16335339e-02,3.01564526e-05,3.43485512e+03
10.90000,3.19518346e-02,3.01636250e-05,3.43374368e+03
11.00000,3.22706689e-02,3.01708491e-05,3.43263080e+03
11.10000,3.25900358e-02,3.01781251e-05,3.43151651e+03
11.20000,3.29099343e-02,3.01854530e-05,3.43040080e+03
11.30000,3.32303723e-02,3.01928332e-05,3.42928365e+03
11.40000,3.35513457e-02,3.02002657e-05,3.42816508e+03
11.50000,3.38728626e-02,3.02077508e-05,3.42704507e+03
11.60000,3.41949218e-02,3.02152886e-05,3.42592363e+03
11.70000,3.45175224e-02,3.02228792e-05,3.42480077e+03
11.80000,3.48406724e-02,3.02305230e-05,3.42367645e+03
11.90000,3.51643676e-02,3.02382199e-05,3.42255071e+03
12.00000,3.54886162e-02,3.02459703e-05,3.42142351e+03
12.10000,3.58134172e-02,3.02537744e-05,3.42029487e+03
12.20000,3.61387693e-02,3.02616321e-05,3.41916479e+03
12.30000,3.64646809e-02,3.02695438e-05,3.41803326e+03
12.40000,3.67911478e-02,3.02775096e-05,3.41690029e+03
12.50000,3.71181781e-02,3.02855298e-05,3.41576585e+03
12.60000,3.74457708e-02,3.02936045e-05,3.41462996e+03
12.70000,3.77739248e-02,3.03017338e-05,3.41349263e+03
12.80000,3.81026485e-02,3.03099181e-05,3.41235383e+03
12.90000,3.84319374e-02,3.03181573e-05,3.41121358e+03
13.00000,3.87618001e-02,3.03264519e-05,3.41007187e+03
13.10000,3.90922354e-02,3.03348019e-05,3.40892868e+03
13.20000,3.94232423e-02,3.03432074e-05,3.40778405e+03
13.30000,3.97548290e-02,3.03516689e-05,3.40663794e+03
13.40000,4.00869914e-02,3.03601862e-05,3.40549038e+03
13.50000,4.04197378e-02,3.03687599e-05,3.40434133e+03
13.60000,4.07530673e-02,3.03773899e-05,3.40319082e+03
13.70000,4.10869786e-02,3.03860764e-05,3.40203885e+03
13.80000,4.14214803e-02,3.03948198e-05,3.40088539e+03
13.90000,4.17565680e-02,3.04036201e-05,3.39973047e+03
14.00000,4.20922503e-02,3.04124776e-05,3.39857406e+03
14.10000,4.24285261e-02,3.04213925e-05,3.39741618e+03
14.20000,4.27653943e-02,3.04303649e-05,3.39625683e+03
14.30000,4.31028634e-02,3.04393951e-05,3.39509599e+03
14.40000,4.34409291e-02,3.04484833e-05,3.39393368e+03
14.50000,4.37796000e-02,3.04576296e-05,3.39276988e+03
14.60000,4.41188751e-02,3.04668344e-05,3.39160459e+03
14.70000,4.44587532e-02,3.04760976e-05,3.39043783e+03
