"pressure [MPa]","density [g/ml]","viscosity [Pa*s]","enthalpy [kJ/kg]"
10.00000,2.91059872e-02,3.01009138e-05,3.44369589e+03
20.00000,6.33980612e-02,3.10565921e-05,3.32645538e+03
30.00000,1.05009475e-01,3.27313692e-05,3.19437061e+03
40.00000,1.56267222e-01,3.54205558e-05,3.04930927e+03
50.00000,2.18030012e-01,3.93727534e-05,2.89884579e+03
60.00000,2.85732782e-01,4.43696957e-05,2.75971233e+03
70.00000,3.49420763e-01,4.95550169e-05,2.64887423e+03
80.00000,4.03046233e-01,5.42519861e-05,2.56789994e+03
90.00000,4.46541715e-01,5.83101448e-05,2.50959938e+03
100.00000,4.82129267e-01,6.18319775e-05,2.46671865e+03
