"pressure [MPa]","density [g/ml]","viscosity [Pa*s]","enthalpy [kJ/kg]"
1.00000,2.72652227e-03,2.96804183e-05,3.53740674e+03
2.00000,5.49012005e-03,2.97101034e-05,3.52746808e+03
3.00000,8.29211070e-03,2.97437845e-05,3.51742204e+03
4.00000,1.11338801e-02,2.97815638e-05,3.50726339e+03
5.00000,1.40168822e-02,2.98235502e-05,3.49698724e+03
6.00000,1.69426391e-02,2.98698596e-05,3.48658901e+03
7.00000,1.99127398e-02,2.99206155e-05,3.47606446e+03
8.00000,2.29288399e-02,2.99759489e-05,3.46540972e+03
9.00000,2.59926605e-02,3.00359991e-05,3.45462126e+03
10.00000,2.91059872e-02,3.01009138e-05,3.44369589e+03
11.00000,3.22706689e-02,3.01708491e-05,3.43263080e+03
12.00000,3.54886162e-02,3.02459703e-05,3.42142351e+03
13.00000,3.87618001e-02,3.03264519e-05,3.41007187e+03
14.00000,4.20922503e-02,3.04124776e-05,3.39857406e+03
15.00000,4.54820530e-02,3.05042410e-05,3.38692862e+03
16.00000,4.89333492e-02,3.06019454e-05,3.37513434e+03
17.00000,5.24483322e-02,3.07058042e-05,3.36319035e+03
18.00000,5.60292448e-02,3.08160407e-05,3.35109603e+03
19.00000,5.96783768e-02,3.09328887e-05,3.33885107e+03
20.00000,6.33980612e-02,3.10565921e-05,3.32645538e+03
21.00000,6.71906709e-02,3.11874049e-05,3.31390914e+03
22.00000,7.10586136e-02,3.13255915e-05,3.30121277e+03
23.00000,7.50043269e-02,3.14714260e-05,3.28836693e+03
24.00000,7.90302723e-02,3.16251925e-05,3.27537252e+03
25.00000,8.31389274e-02,3.17871843e-05,3.26223070e+03
26.00000,8.73327778e-02,3.19577035e-05,3.24894289e+03
27.00000,9.16143061e-02,3.21370608e-05,3.23551079e+03
28.00000,9.59859805e-02,3.23255739e-05,3.22193641e+03
29.00000,1.00450239e-01,3.25235669e-05,3.20822210e+03
30.00000,1.05009475e-01,3.27313692e-05,3.19437061e+03
31.00000,1.09666013e-01,3.29493133e-05,3.18038512e+03
32.00000,1.14422089e-01,3.31777334e-05,3.16626929e+03
33.00000,1.19279822e-01,3.34169628e-05,3.15202736e+03
34.00000,1.24241182e-01,3.36673314e-05,3.13766419e+03
35.00000,1.29307956e-01,3.39291620e-05,3.12318532e+03
36.00000,1.34481707e-01,3.42027670e-05,3.10859711e+03
37.00000,1.39763727e-01,3.44884442e-05,3.09390676e+03
38.00000,1.45154992e-01,3.47864714e-05,3.07912238e+03
39.00000,1.50656101e-01,3.50971014e-05,3.06425315e+03
40.00000,1.56267222e-01,3.54205558e-05,3.04930927e+03
41.00000,1.61988031e-01,3.57570183e-05,3.03430211e+03
42.00000,1.67817639e-01,3.61066279e-05,3.01924421e+03
43.00000,1.73754534e-01,3.64694713e-05,3.00414931e+03
44.00000,1.79796512e-01,3.68455751e-05,2.98903235e+03
45.00000,1.85940613e-01,3.72348985e-05,2.97390948e+03
46.00000,1.92183065e-01,3.76373255e-05,2.95879796e+03
47.00000,1.98519231e-01,3.80526578e-05,2.94371614e+03
48.00000,2.04943574e-01,3.84806090e-05,2.92868331e+03
49.00000,2.11449633e-01,3.89207997e-05,2.91371960e+03
50.00000,2.18030012e-01,3.93727534e-05,2.89884579e+03
51.00000,2.24676403e-01,3.98358960e-05,2.88408316e+03
52.00000,2.31379619e-01,4.03095558e-05,2.86945327e+03
53.00000,2.38129658e-01,4.07929668e-05,2.85497775e+03
54.00000,2.44915798e-01,4.12852750e-05,2.84067810e+03
55.00000,2.51726707e-01,4.17855466e-05,2.82657549e+03
56.00000,2.58550581e-01,4.22927792e-05,2.81269055e+03
57.00000,2.65375311e-01,4.28059154e-05,2.79904323e+03
58.00000,2.72188656e-01,4.33238589e-05,2.78565262e+03
59.00000,2.78978442e-01,4.38454918e-05,2.77253674e+03
60.00000,2.85732782e-01,4.43696957e-05,2.75971233e+03
61.00000,2.92440318e-01,4.48953738e-05,2.74719443e+03
62.00000,2.99090521e-01,4.54214789e-05,2.73499577e+03
63.00000,3.05674060e-01,4.59470481e-05,2.72312570e+03
64.00000,3.12183324e-01,4.64712495e-05,2.71158841e+03
65.00000,3.18613148e-01,4.69934482e-05,2.70038012e+03
66.00000,3.24961904e-01,4.75133036e-05,2.68948479e+03
67.00000,3.31221461e-01,4.80299489e-05,2.67881140e+03
68.00000,3.37390354e-01,4.85430684e-05,2.66851554e+03
69.00000,3.43457926e-01,4.90515836e-05,2.65853807e+03
70.00000,3.49420763e-01,4.95550169e-05,2.64887423e+03
71.00000,3.55276324e-01,5.00529686e-05,2.63951816e+03
72.00000,3.61022834e-01,5.05451099e-05,2.63046314e+03
73.00000,3.66659197e-01,5.10311756e-05,2.62170180e+03
74.00000,3.72184913e-01,5.15109583e-05,2.61322624e+03
75.00000,3.77600010e-01,5.19843025e-05,2.60502823e+03
76.00000,3.82904978e-01,5.24510993e-05,2.59709926e+03
77.00000,3.88100708e-01,5.29112813e-05,2.58943067e+03
78.00000,3.93188435e-01,5.33648177e-05,2.58201373e+03
79.00000,3.98169686e-01,5.38117097e-05,2.57483971e+03
80.00000,4.03046233e-01,5.42519861e-05,2.56789994e+03
81.00000,4.07820045e-01,5.46856996e-05,2.56118586e+03
82.00000,4.12493255e-01,5.51129231e-05,2.55468907e+03
83.00000,4.17068119e-01,5.55337461e-05,2.54840135e+03
84.00000,4.21546991e-01,5.59482724e-05,2.54231468e+03
85.00000,4.25932287e-01,5.63566167e-05,2.53642129e+03
86.00000,4.30226469e-01,5.67589027e-05,2.53071367e+03
87.00000,4.34432021e-01,5.71552612e-05,2.52518453e+03
88.00000,4.38551431e-01,5.75458278e-05,2.51982688e+03
89.00000,4.42587177e-01,5.79307419e-05,2.51463399e+03
90.00000,4.46541715e-01,5.83101448e-05,2.50959938e+03
91.00000,4.50417468e-01,5.86841792e-05,2.50471685e+03
92.00000,4.54216817e-01,5.90529878e-05,2.49998046e+03
93.00000,4.57942095e-01,5.94167125e-05,2.49538453e+03
94.00000,4.61595585e-01,5.97754940e-05,2.49092363e+03
95.00000,4.65179510e-01,6.01294712e-05,2.48659255e+03
96.00000,4.68696035e-01,6.04787808e-05,2.48238635e+03
97.00000,4.72147263e-01,6.08235565e-05,2.47830027e+03
98.00000,4.75535236e-01,6.11639297e-05,2.47432981e+03
99.00000,4.78861932e-01,6.15000284e-05,2.47047064e+03
100.00000,4.82129267e-01,6.18319775e-05,2.46671865e+03
