energy,energy_mean,energy_var,order,order_mean,order_var
-0.9812,-0.9812,0,0.0044,0.0044,0
-0.9812,-0.9812,0,0.0042,0.0043,3.99887e-08
-0.9812,-0.9812,-2.38419e-07,0.0042,0.00426667,2.66664e-08
-0.9816,-0.9813,1.58946e-07,0.004,0.0042,5.33255e-08
-0.9816,-0.98136,3.57628e-07,0.0038,0.00412,1.03988e-07
-0.982,-0.981467,5.72205e-07,0.004,0.0041,8.79911e-08
-0.982,-0.981543,1.19209e-06,0.0038,0.00405714,9.90403e-08
-0.9822,-0.981625,8.17435e-07,0.004,0.00405,8.57056e-08
-0.9822,-0.981689,1.43051e-06,0.004,0.00404445,7.55444e-08
-0.9822,-0.98174,1.69542e-06,0.0038,0.00402,7.90969e-08
-0.9822,-0.981782,1.90735e-06,0.004,0.00401818,7.12651e-08
-0.9822,-0.981817,2.08074e-06,0.004,0.00401667,6.48394e-08
-0.9822,-0.981846,2.06629e-06,0.004,0.00401539,5.94797e-08
-0.9822,-0.981871,2.05407e-06,0.004,0.00401429,5.49391e-08
-0.9822,-0.981893,1.63487e-06,0.0038,0.004,5.71339e-08
-0.982,-0.9819,1.78019e-06,0.0036,0.003975,7.3322e-08
-0.982,-0.981906,1.43051e-06,0.0036,0.00395294,8.52824e-08
-0.9824,-0.981933,6.59157e-07,0.0034,0.00392222,1.14248e-07
-0.9824,-0.981958,3.97364e-07,0.0032,0.00388421,1.62803e-07
-0.9824,-0.98198,1.75677e-07,0.0032,0.00385,2.01044e-07
-0.9824,-0.982,1.66893e-07,0.003,0.00380952,2.59805e-07
-0.9828,-0.982036,5.67663e-07,0.0032,0.00378182,2.81204e-07
-0.983,-0.982078,6.28558e-07,0.003,0.00374783,3.21575e-07
-0.983,-0.982117,1.34758e-06,0.0028,0.00370833,3.82461e-07
-0.983,-0.982152,1.37091e-06,0.0028,0.003672,4.32528e-07
-0.9834,-0.9822,1.50681e-06,0.0026,0.00363077,5.03623e-07
-0.9834,-0.982244,1.59557e-06,0.0026,0.00359259,5.62958e-07
-0.9834,-0.982286,1.71308e-06,0.0028,0.00356429,5.86976e-07
-0.9838,-0.982338,1.97547e-06,0.0026,0.00353104,6.30141e-07
-0.984,-0.982393,2.84458e-06,0.0028,0.00350667,6.44041e-07
-0.984,-0.982445,3.60807e-06,0.003,0.00349032,6.39137e-07
-0.9842,-0.9825,3.85315e-06,0.0032,0.00348125,6.23785e-07
-0.9842,-0.982552,3.60608e-06,0.0034,0.00347879,6.04692e-07
-0.9842,-0.9826,4.36378e-06,0.0032,0.00347059,5.9094e-07
-0.9842,-0.982646,4.43178e-06,0.0032,0.00346286,5.77743e-07
-0.984,-0.982683,3.985e-06,0.0034,0.00346111,5.61452e-07
-0.9842,-0.982724,4.03325e-06,0.0032,0.00345405,5.49544e-07
-0.9842,-0.982763,4.5364e-06,0.003,0.00344211,5.4554e-07
-0.9842,-0.9828,4.81856e-06,0.003,0.00343077,5.41204e-07
-0.9842,-0.982835,5.08626e-06,0.003,0.00342,5.36605e-07
-0.9842,-0.982868,4.93526e-06,0.003,0.00340976,5.31795e-07
-0.9842,-0.9829,5.55922e-06,0.003,0.0034,5.26818e-07
-0.9846,-0.98294,5.50066e-06,0.0028,0.00338605,5.31017e-07
-0.9846,-0.982977,5.44482e-06,0.0028,0.00337273,5.34277e-07
-0.9846,-0.983013,5.73288e-06,0.0028,0.00336,5.36716e-07
-0.9846,-0.983048,5.75384e-06,0.0028,0.00334783,5.3842e-07
