energy,energy_mean,energy_var,order,order_mean,order_var
-1.0452,-1.04349,2.34972e-06,0.0072,0.00765476,1.11209e-07
-1.0454,-1.04351,2.46934e-06,0.0074,0.00765176,1.1065e-07
-1.0454,-1.04354,2.22711e-06,0.0076,0.00765116,1.09376e-07
-1.0454,-1.04356,2.38973e-06,0.0078,0.00765287,1.08368e-07
-1.0454,-1.04358,2.3513e-06,0.008,0.00765682,1.0848e-07
-1.0452,-1.0436,2.19995e-06,0.0078,0.00765843,1.07484e-07
-1.0452,-1.04362,2.3574e-06,0.008,0.00766222,1.07569e-07
-1.045,-1.04363,2.47558e-06,0.0078,0.00766374,1.06584e-07
-1.045,-1.04365,2.52828e-06,0.0078,0.00766522,1.05616e-07
-1.045,-1.04366,2.63556e-06,0.0078,0.00766667,1.04663e-07
-1.0452,-1.04368,2.76489e-06,0.0076,0.00766596,1.03588e-07
-1.0456,-1.0437,2.76084e-06,0.0074,0.00766316,1.03231e-07
-1.0458,-1.04372,2.76189e-06,0.0076,0.0076625,1.02186e-07
-1.0458,-1.04374,2.74678e-06,0.0076,0.00766186,1.01158e-07
-1.0458,-1.04376,2.89052e-06,0.0076,0.00766122,1.00162e-07
-1.0458,-1.04378,2.83183e-06,0.0078,0.00766263,9.93328e-08
-1.0458,-1.0438,2.85139e-06,0.0078,0.007664,9.8516e-08
-1.046,-1.04382,2.93493e-06,0.0076,0.00766337,9.75701e-08
-1.0462,-1.04385,2.8504e-06,0.0078,0.00766471,9.67868e-08
-1.0464,-1.04387,2.68922e-06,0.008,0.00766796,9.69224e-08
-1.0464,-1.0439,2.71288e-06,0.008,0.00767115,9.70408e-08
-1.0464,-1.04392,2.88166e-06,0.0082,0.00767619,9.8774e-08
-1.0466,-1.04395,2.62033e-06,0.008,0.00767924,9.88115e-08
-1.0466,-1.04397,2.78005e-06,0.008,0.00768224,9.88359e-08
-1.0466,-1.04399,2.87885e-06,0.008,0.00768518,9.88517e-08
-1.0464,-1.04402,2.96699e-06,0.0082,0.00768991,1.00366e-07
-1.0464,-1.04404,2.90477e-06,0.0082,0.00769455,1.01812e-07
-1.0462,-1.04406,2.76891e-06,0.0084,0.0077009,1.0537e-07
-1.0464,-1.04408,2.7096e-06,0.0082,0.00770536,1.06647e-07
-1.0466,-1.0441,2.74607e-06,0.0084,0.0077115,1.09959e-07
-1.0468,-1.04412,3.00766e-06,0.0086,0.0077193,1.15911e-07
-1.0468,-1.04415,3.10153e-06,0.0088,0.0077287,1.2505e-07
-1.0468,-1.04417,3.13676e-06,0.0088,0.00773793,1.33861e-07
-1.0468,-1.04419,2.96584e-06,0.0086,0.0077453,1.39058e-07
-1.0466,-1.04421,2.9517e-06,0.0084,0.00775085,1.41495e-07
-1.0466,-1.04423,3.00246e-06,0.0084,0.0077563,1.43836e-07
-1.0466,-1.04425,3.0193e-06,0.0084,0.00776167,1.46084e-07
-1.0466,-1.04427,2.93255e-06,0.0084,0.00776694,1.48231e-07
-1.0466,-1.04429,3.09747e-06,0.0082,0.00777049,1.4855e-07
-1.0468,-1.04431,3.11996e-06,0.0084,0.00777561,1.50544e-07
-1.0468,-1.04433,3.18861e-06,0.0086,0.00778226,1.54801e-07
-1.0466,-1.04435,2.94658e-06,0.0088,0.0077904,1.61836e-07
-1.0466,-1.04437,3.1929e-06,0.0086,0.00779683,1.6574e-07
-1.0466,-1.04439,3.14675e-06,0.0086,0.00780315,1.69507e-07
-1.0466,-1.0444,3.21396e-06,0.0088,0.00781094,1.75934e-07
-1.0466,-1.04442,3.10689e-06,0.0086,0.00781706,1.79385e-07
-1.0466,-1.04444,3.11977e-06,0.0088,0.00782462,1.85414e-07
-1.0466,-1.04445,3.24983e-06,0.0086,0.00783054,1.88581e-07
-1.0466,-1.04447,3.09398e-06,0.0088,0.00783788,1.9426e-07
-1.0466,-1.04449,3.02719e-06,0.009,0.00784662,2.02947e-07
-1.0468,-1.0445,3.0125e-06,0.0088,0.00785373,2.08185e-07
-1.0468,-1.04452,3.22577e-06,0.0088,0.00786074,2.13273e-07
-1.047,-1.04454,3.16037e-06,0.0086,0.00786618,2.15704e-07
-1.0472,-1.04456,3.31682e-06,0.0088,0.00787299,2.20474e-07
-1.0474,-1.04458,3.36135e-06,0.0086,0.00787826,2.22704e-07
-1.0476,-1.0446,3.33268e-06,0.0084,0.00788202,2.23052e-07
-1.0476,-1.04462,3.40818e-06,0.0086,0.00788714,2.25118e-07
-1.0478,-1.04464,3.36851e-06,0.0088,0.00789362,2.29414e-07
-1.0478,-1.04467,3.29897e-06,0.0086,0.00789859,2.31299e-07
-1.048,-1.04469,3.6149e-06,0.0088,0.0079049,2.35344e-07
-1.048,-1.04471,3.33953e-06,0.0088,0.00791111,2.39262e-07
-1.0482,-1.04474,3.65575e-06,0.0086,0.00791586,2.40863e-07
-1.0482,-1.04476,3.54339e-06,0.0088,0.00792192,2.44549e-07
-1.0482,-1.04478,3.74448e-06,0.0088,0.00792789,2.48118e-07
-1.0482,-1.04481,3.73522e-06,0.009,0.00793514,2.54195e-07
-1.048,-1.04483,3.79859e-06,0.0088,0.00794094,2.57486e-07
-1.048,-1.04485,4.02751e-06,0.0088,0.00794667,2.60677e-07
-1.0478,-1.04487,3.79403e-06,0.0086,0.007951,2.6176e-07
-1.048,-1.04489,3.71207e-06,0.0088,0.00795658,2.64761e-07
-1.0482,-1.04491,3.8994e-06,0.009,0.0079634,2.70138e-07
-1.048,-1.04493,3.79288e-06,0.0092,0.00797143,2.78298e-07
-1.048,-1.04495,3.81315e-06,0.0092,0.00797936,2.86241e-07
-1.0478,-1.04497,3.58858e-06,0.009,0.0079859,2.91076e-07
-1.048,-1.04499,3.60837e-06,0.0088,0.00799108,2.93422e-07
-1.048,-1.04501,3.63398e-06,0.0088,0.0079962,2.957e-07
-1.0478,-1.04503,3.81017e-06,0.0086,0.008,2.96107e-07
-1.0478,-1.04504,3.87318e-06,0.0084,0.0080025,2.95245e-07
-1.0478,-1.04506,3.74466e-06,0.0084,0.00800497,2.94378e-07
-1.0482,-1.04508,3.73177e-06,0.0082,0.00800618,2.92781e-07
-1.0482,-1.0451,3.62485e-06,0.0082,0.00800736,2.91192e-07
-1.0484,-1.04512,3.67428e-06,0.008,0.00800732,2.89404e-07
-1.0484,-1.04514,3.90628e-06,0.0082,0.00800849,2.87855e-07
-1.0484,-1.04516,3.95486e-06,0.0082,0.00800964,2.86325e-07
-1.0486,-1.04518,4.03229e-06,0.008,0.00800958,2.84603e-07
-1.0486,-1.0452,3.92605e-06,0.0082,0.00801072,2.83113e-07
-1.0484,-1.04522,3.97151e-06,0.0084,0.00801302,2.8233e-07
-1.0484,-1.04524,4.08133e-06,0.0084,0.0080153,2.81543e-07
-1.0486,-1.04526,4.16181e-06,0.0082,0.00801638,2.80078e-07
-1.0484,-1.04527,4.28805e-06,0.0084,0.00801861,2.79292e-07
-1.0484,-1.04529,4.11133e-06,0.0086,0.00802197,2.79623e-07
-1.0482,-1.04531,4.14821e-06,0.0084,0.00802414,2.78823e-07
-1.0484,-1.04533,4.23399e-06,0.0082,0.00802515,2.7739e-07
-1.0484,-1.04534,4.14848e-06,0.008,0.008025,2.75806e-07
-1.0486,-1.04536,4.32066e-06,0.0082,0.00802599,2.74404e-07
-1.0486,-1.04538,4.4855e-06,0.008,0.00802585,2.72856e-07
-1.049,-1.0454,4.46633e-06,0.0078,0.00802458,2.71613e-07
-1.049,-1.04542,4.62053e-06,0.0076,0.00802222,2.71102e-07
-1.049,-1.04544,4.6028e-06,0.0078,0.008021,2.69862e-07
-1.049,-1.04546,4.71173e-06,0.0078,0.00801978,2.68646e-07
-1.049,-1.04548,4.92164e-06,0.0076,0.00801749,2.68131e-07
-1.049,-1.0455,5.1501e-06,0.0078,0.00801631,2.6693e-07
-1.0492,-1.04552,5.16941e-06,0.0076,0.00801406,2.66417e-07
-1.0492,-1.04554,5.52358e-06,0.0074,0.00801075,2.66999e-07
-1.0492,-1.04556,5.62335e-06,0.0076,0.00800856,2.66455e-07
-1.0492,-1.04558,5.47725e-06,0.0074,0.00800532,2.67005e-07
-1.0492,-1.0456,5.73726e-06,0.0074,0.00800212,2.67522e-07
-1.0494,-1.04562,5.87279e-06,0.0072,0.0079979,2.69496e-07
-1.0492,-1.04564,6.04768e-06,0.0074,0.00799477,2.69944e-07
-1.0492,-1.04565,6.39611e-06,0.0076,0.00799271,2.69344e-07
-1.0492,-1.04567,6.4609e-06,0.0078,0.00799171,2.68132e-07
-1.0492,-1.04569,6.6856e-06,0.0078,0.00799072,2.66929e-07
-1.0492,-1.04571,6.6708e-06,0.0078,0.00798975,2.65738e-07
-1.0494,-1.04573,6.63598e-06,0.0076,0.00798776,2.65163e-07
-1.0494,-1.04575,6.83507e-06,0.0074,0.00798477,2.65552e-07
-1.0494,-1.04576,7.03274e-06,0.0074,0.00798182,2.65928e-07
-1.0494,-1.04578,7.14894e-06,0.0072,0.00797789,2.6766e-07
-1.0494,-1.0458,7.03634e-06,0.0074,0.007975,2.67982e-07
-1.0496,-1.04582,7.0405e-06,0.0076,0.00797314,2.67338e-07
-1.0496,-1.04584,7.04462e-06,0.0078,0.00797228,2.66163e-07
-1.0496,-1.04586,6.97433e-06,0.008,0.00797242,2.64841e-07
-1.0494,-1.04587,7.16665e-06,0.0082,0.00797353,2.63789e-07
-1.0494,-1.04589,7.20749e-06,0.0082,0.00797464,2.62747e-07
-1.0498,-1.04591,7.36132e-06,0.0084,0.0079767,2.62339e-07
-1.05,-1.04593,7.18091e-06,0.0082,0.00797778,2.613e-07
-1.0498,-1.04595,7.29711e-06,0.008,0.00797789,2.60033e-07
-1.05,-1.04597,7.22649e-06,0.0078,0.00797704,2.58932e-07
-1.05,-1.04599,7.30314e-06,0.0078,0.00797619,2.57835e-07
-1.05,-1.04601,7.27177e-06,0.0078,0.00797536,2.56766e-07
-1.05,-1.04603,7.28024e-06,0.0078,0.00797453,2.5569e-07
-1.05,-1.04604,7.2504e-06,0.0078,0.00797371,2.54624e-07
-1.05,-1.04606,7.29247e-06,0.0078,0.0079729,2.53573e-07
-1.0498,-1.04608,7.36925e-06,0.008,0.00797302,2.52392e-07
-1.0498,-1.0461,7.37434e-06,0.008,0.00797315,2.51209e-07
-1.05,-1.04612,7.41471e-06,0.0082,0.0079742,2.50291e-07
-1.05,-1.04613,7.56018e-06,0.008,0.00797431,2.49133e-07
-1.0502,-1.04615,7.42761e-06,0.0082,0.00797534,2.48216e-07
-1.0504,-1.04617,7.57932e-06,0.008,0.00797546,2.47069e-07
-1.0504,-1.04619,7.72259e-06,0.0082,0.00797647,2.46178e-07
-1.0504,-1.04621,7.51936e-06,0.0084,0.00797838,2.45871e-07
-1.0504,-1.04623,7.62725e-06,0.0084,0.00798027,2.45559e-07
-1.0504,-1.04625,7.8026e-06,0.0084,0.00798215,2.45241e-07
-1.0504,-1.04626,7.77202e-06,0.0082,0.00798311,2.44346e-07
-1.0504,-1.04628,7.63999e-06,0.008,0.00798319,2.43271e-07
-1.0504,-1.0463,7.71379e-06,0.0078,0.00798238,2.42349e-07
-1.0506,-1.04632,7.85101e-06,0.0076,0.0079807,2.41924e-07
-1.0506,-1.04634,7.76115e-06,0.0076,0.00797904,2.41493e-07
-1.0504,-1.04636,7.79389e-06,0.0074,0.00797652,2.4189e-07
-1.0502,-1.04637,8.13111e-06,0.0072,0.00797316,2.43442e-07
-1.0504,-1.04639,8.03089e-06,0.007,0.00796897,2.46471e-07
-1.0506,-1.04641,8.2388e-06,0.0068,0.00796395,2.51283e-07
-1.0506,-1.04643,8.11646e-06,0.0068,0.00795898,2.55986e-07
-1.0508,-1.04645,8.29065e-06,0.0066,0.00795319,2.62746e-07
-1.0508,-1.04646,8.33349e-06,0.0066,0.00794746,2.69395e-07
-1.0508,-1.04648,8.37496e-06,0.0068,0.00794262,2.73797e-07
-1.0508,-1.0465,8.3537e-06,0.0066,0.00793698,2.80212e-07
-1.0508,-1.04652,8.33463e-06,0.0066,0.00793138,2.86524e-07
-1.051,-1.04654,8.53868e-06,0.0064,0.007925,2.95085e-07
-1.0512,-1.04656,8.71271e-06,0.0066,0.00791951,3.01136e-07
-1.0516,-1.04658,8.7745e-06,0.0064,0.00791323,3.09433e-07
-1.0518,-1.0466,8.47667e-06,0.0062,0.00790618,3.2024e-07
-1.0518,-1.04662,8.44276e-06,0.0064,0.0079,3.2822e-07
-1.0522,-1.04664,8.79266e-06,0.0062,0.00789306,3.38679e-07
-1.0522,-1.04666,9.01514e-06,0.0062,0.00788618,3.4895e-07
-1.0522,-1.04669,8.98819e-06,0.0062,0.00787935,3.59043e-07
-1.0522,-1.04671,9.25875e-06,0.006,0.00787178,3.7183e-07
-1.0522,-1.04673,9.65018e-06,0.0062,0.00786506,3.81554e-07
-1.0522,-1.04675,9.92357e-06,0.0062,0.0078584,3.91104e-07
-1.0526,-1.04678,9.83953e-06,0.006,0.007851,4.033e-07
-1.0526,-1.0468,9.87775e-06,0.0062,0.00784445,4.12519e-07
-1.0528,-1.04682,1.00453e-05,0.0064,0.00783874,4.19123e-07
-1.053,-1.04685,1.01493e-05,0.0066,0.00783386,4.23515e-07
-1.053,-1.04687,1.01018e-05,0.0068,0.00782981,4.26035e-07
-1.053,-1.0469,1.02118e-05,0.0066,0.007825,4.30276e-07
-1.0532,-1.04692,1.01635e-05,0.0064,0.00781946,4.36484e-07
-1.0534,-1.04695,1.04269e-05,0.0062,0.00781318,4.44957e-07
-1.0534,-1.04697,1.0215e-05,0.0064,0.00780773,4.50933e-07
-1.0534,-1.047,1.03293e-05,0.0064,0.00780231,4.56805e-07
-1.0534,-1.04702,1.03263e-05,0.0062,0.00779617,4.64888e-07
-1.0536,-1.04704,1.04461e-05,0.0064,0.00779084,4.70541e-07
-1.0536,-1.04707,1.09145e-05,0.0066,0.00778632,4.74142e-07
-1.0536,-1.04709,1.10135e-05,0.0066,0.00778182,4.77676e-07
-1.0534,-1.04712,1.09216e-05,0.0064,0.00777661,4.83076e-07
-1.0532,-1.04714,1.08103e-05,0.0062,0.00777068,4.90593e-07
-1.0534,-1.04716,1.09292e-05,0.006,0.00776405,5.00488e-07
-1.0534,-1.04719,1.09887e-05,0.0062,0.00775821,5.07747e-07
-1.053,-1.04721,1.09855e-05,0.006,0.00775168,5.17336e-07
-1.053,-1.04723,1.09938e-05,0.0062,0.00774593,5.24336e-07
-1.0528,-1.04725,1.12251e-05,0.006,0.00773949,5.33642e-07
-1.0526,-1.04727,1.11533e-05,0.0062,0.00773383,5.4038e-07
-1.0524,-1.04729,1.11189e-05,0.0064,0.00772894,5.44901e-07
-1.0526,-1.04731,1.09786e-05,0.0066,0.00772482,5.47567e-07
-1.0526,-1.04733,1.06723e-05,0.0066,0.00772073,5.50182e-07
-1.053,-1.04735,1.08506e-05,0.0064,0.00771595,5.54489e-07
-1.053,-1.04737,1.06943e-05,0.0062,0.00771048,5.60777e-07
-1.0532,-1.04739,1.10129e-05,0.0064,0.00770576,5.64924e-07
-1.0532,-1.04741,1.10016e-05,0.0066,0.0077018,5.6728e-07
