energy,energy_mean,energy_var,order,order_mean,order_var
-1.014,-1.014,0,-0.0024,-0.0024,0
-1.014,-1.014,0,-0.0022,-0.0023,3.99987e-09
-1.0144,-1.01413,2.38419e-09,-0.0024,-0.00233333,2.66659e-09
-1.0144,-1.0142,9.53674e-09,-0.0026,-0.0024,5.33328e-09
-1.0142,-1.0142,2.38419e-09,-0.0024,-0.0024,3.99996e-09
-1.0144,-1.01423,9.53674e-09,-0.0022,-0.00236667,4.53341e-09
-1.0144,-1.01426,-1.58946e-09,-0.002,-0.00231429,7.61905e-09
-1.0144,-1.01428,1.36239e-09,-0.0022,-0.0023,6.8571e-09
-1.0144,-1.01429,-5.96046e-09,-0.002,-0.00226667,7.99982e-09
-1.0148,-1.01434,-7.41747e-09,-0.0022,-0.00226,7.20005e-09
-1.0148,-1.01438,-2.86102e-09,-0.0024,-0.00227273,6.83661e-09
-1.015,-1.01443,-1.38716e-08,-0.0022,-0.00226667,6.3032e-09
-1.015,-1.01448,-2.38419e-09,-0.002,-0.00224615,6.87176e-09
-1.0152,-1.01453,-4.03478e-09,-0.0022,-0.00224286,6.37339e-09
-1.0154,-1.01459,-8.51495e-09,-0.0024,-0.00225333,6.24753e-09
-1.0154,-1.01464,-1.90735e-09,-0.0022,-0.00225,5.86654e-09
-1.0156,-1.01469,-1.19209e-09,-0.002,-0.00223529,6.23508e-09
-1.0154,-1.01473,-4.48788e-09,-0.0018,-0.00221111,7.97356e-09
-1.0154,-1.01477,-3.70873e-09,-0.002,-0.0022,7.99975e-09
-1.0152,-1.01479,-1.25483e-09,-0.0022,-0.0022,7.57863e-09
-1.0154,-1.01482,-5.00679e-09,-0.002,-0.00219048,7.58097e-09
-1.0154,-1.01485,4.54131e-10,-0.0022,-0.00219091,7.22052e-09
-1.0152,-1.01486,2.38419e-09,-0.002,-0.00218261,7.20927e-09
-1.015,-1.01487,1.0366e-09,-0.0022,-0.00218333,6.89835e-09
-1.0152,-1.01488,1.29143e-08,-0.002,-0.002176,6.87961e-09
-1.0152,-1.01489,6.10352e-09,-0.0022,-0.00217692,6.60897e-09
-1.0154,-1.01491,1.44885e-08,-0.002,-0.00217037,6.58649e-09
-1.015,-1.01491,1.13028e-08,-0.0018,-0.00215714,7.32239e-09
-1.0148,-1.01491,1.97547e-08,-0.002,-0.00215172,7.2312e-09
-1.0148,-1.01491,1.94023e-08,-0.0022,-0.00215333,6.99741e-09
-1.0152,-1.01492,1.63714e-08,-0.002,-0.00214839,6.91576e-09
-1.0152,-1.01492,1.3536e-08,-0.0018,-0.0021375,7.45136e-09
-1.0152,-1.01493,1.07288e-08,-0.002,-0.00213333,7.33319e-09
-1.0152,-1.01494,-5.77984e-09,-0.0022,-0.00213529,7.13718e-09
-1.0152,-1.01495,-7.85379e-09,-0.002,-0.00213143,7.03175e-09
-1.0154,-1.01496,-3.40598e-09,-0.0018,-0.00212222,7.44105e-09
-1.0152,-1.01497,-5.96046e-09,-0.0016,-0.00210811,8.70861e-09
-1.0152,-1.01497,-8.24799e-09,-0.0014,-0.00208947,1.11123e-08
-1.0154,-1.01498,-1.01642e-08,-0.0012,-0.00206667,1.48772e-08
-1.0154,-1.015,-8.06955e-09,-0.001,-0.00204,2.01845e-08
-1.0158,-1.01501,-7.98702e-09,-0.0012,-0.00201951,2.31219e-08
-1.0158,-1.01503,-9.76935e-09,-0.0012,-0.002,2.5756e-08
-1.0158,-1.01505,-2.49772e-09,-0.0014,-0.00198605,2.68173e-08
-1.016,-1.01507,-9.64764e-09,-0.0012,-0.00196818,2.9002e-08
-1.0162,-1.0151,-4.11814e-09,-0.0014,-0.00195556,2.97779e-08
-1.0162,-1.01512,-2.3312e-09,-0.0016,-0.00194783,2.96657e-08
-1.0162,-1.01514,-8.50014e-09,-0.0014,-0.00193617,3.02979e-08
-1.0158,-1.01516,-1.32906e-08,-0.0016,-0.00192917,3.01242e-08
-1.0156,-1.01517,-4.96705e-10,-0.0014,-0.00191837,3.06395e-08
-1.0154,-1.01517,9.73137e-10,-0.0012,-0.001904,3.20784e-08
-1.0152,-1.01517,-2.00272e-09,-0.0014,-0.00189412,3.24329e-08
-1.0152,-1.01517,2.61793e-09,-0.0016,-0.00188846,3.21298e-08
-1.0152,-1.01517,-3.30118e-09,-0.0016,-0.00188302,3.1826e-08
-1.0152,-1.01517,-6.11791e-09,-0.0014,-0.00187407,3.20895e-08
-1.015,-1.01517,-1.15677e-08,-0.0012,-0.00186182,3.31476e-08
-1.0148,-1.01516,-6.93581e-09,-0.001,-0.00184643,3.51975e-08
-1.0148,-1.01516,-1.3113e-08,-0.0012,-0.00183509,3.60352e-08
-1.0148,-1.01515,-1.38868e-08,-0.0014,-0.00182759,3.60557e-08
-1.0146,-1.01514,-5.01501e-09,-0.0012,-0.00181695,3.67692e-08
-1.0142,-1.01513,-3.63689e-09,-0.001,-0.00180333,3.83707e-08
-1.0142,-1.01511,-1.25567e-08,-0.0012,-0.00179344,3.89247e-08
-1.014,-1.01509,-4.29935e-09,-0.001,-0.00178064,4.03174e-08
-1.014,-1.01508,-1.10749e-08,-0.0012,-0.00177143,4.07374e-08
-1.014,-1.01506,-5.9037e-09,-0.0012,-0.0017625,4.11112e-08
-1.014,-1.01504,-8.9407e-10,-0.0014,-0.00175692,4.08731e-08
-1.014,-1.01503,-7.62939e-09,-0.0012,-0.00174848,4.11842e-08
-1.0142,-1.01502,-2.81767e-09,-0.001,-0.00173731,4.22326e-08
-1.0146,-1.01501,-5.48007e-09,-0.0008,-0.00172353,4.41862e-08
-1.0142,-1.015,-9.116e-10,-0.0006,-0.00170725,4.71952e-08
-1.0144,-1.01499,4.56105e-09,-0.0004,-0.00168857,5.13938e-08
-1.0142,-1.01498,4.49589e-09,-0.0006,-0.00167324,5.39976e-08
-1.0142,-1.01497,1.30291e-08,-0.0008,-0.00166111,5.53553e-08
-1.0144,-1.01496,7.28501e-09,-0.0006,-0.00164658,5.76712e-08
-1.0148,-1.01496,3.26601e-09,-0.0004,-0.00162973,6.10811e-08
-1.0146,-1.01495,1.05033e-08,-0.0006,-0.001616,6.30832e-08
-1.0144,-1.01494,8.07444e-09,-0.0004,-0.0016,6.61333e-08
-1.0142,-1.01494,1.09171e-08,-0.0006,-0.00158701,6.78605e-08
-1.0142,-1.01493,1.79588e-08,-0.0008,-0.00157692,6.85674e-08
-1.0144,-1.01492,2.18856e-08,-0.001,-0.00156962,6.8531e-08
-1.0146,-1.01491,1.68402e-08,-0.0008,-0.00156,6.91443e-08
-1.0144,-1.01491,2.61664e-08,-0.0006,-0.00154815,7.05555e-08
-1.0146,-1.0149,1.5247e-08,-0.0004,-0.00153415,7.28996e-08
-1.0142,-1.0149,1.78523e-08,-0.0002,-0.00151807,7.62996e-08
-1.0144,-1.01489,1.75798e-08,-0.0004,-0.00150476,7.83567e-08
-1.0144,-1.01488,2.07765e-08,-0.0004,-0.00149176,8.02955e-08
-1.0142,-1.01488,2.36736e-08,-0.0006,-0.0014814,8.12004e-08
-1.0142,-1.01487,1.96279e-08,-0.0006,-0.00147126,8.20421e-08
-1.014,-1.01486,2.50477e-08,-0.0004,-0.00145909,8.37072e-08
-1.014,-1.01485,2.36251e-08,-0.0006,-0.00144944,8.44145e-08
-1.0142,-1.01484,3.0164e-08,-0.0004,-0.00143778,8.59134e-08
-1.0142,-1.01484,3.18951e-08,-0.0002,-0.00142418,8.8326e-08
-1.0138,-1.01482,2.71954e-08,0,-0.0014087,9.17647e-08
-1.0136,-1.01481,2.2287e-08,-0.0002,-0.0013957,9.39091e-08
-1.0138,-1.0148,2.92255e-08,0,-0.00138085,9.7044e-08
-1.0138,-1.01479,2.3436e-08,0,-0.00136632,1.00026e-07
-1.0142,-1.01478,2.19345e-08,0.0002,-0.00135,1.04084e-07
-1.0142,-1.01478,2.37425e-08,0,-0.00133608,1.06757e-07
-1.0142,-1.01477,1.91718e-08,0.0002,-0.00132041,1.10472e-07
-1.0142,-1.01477,2.52042e-08,0.0004,-0.00130303,1.15325e-07
-1.0142,-1.01476,3.41974e-08,0.0006,-0.001284,1.21403e-07
-1.0142,-1.01475,2.81334e-08,0.0008,-0.00126337,1.28789e-07
-1.0146,-1.01475,2.88463e-08,0.0006,-0.0012451,1.34322e-07
-1.0144,-1.01475,3.15554e-08,0.0008,-0.00122524,1.41126e-07
-1.0146,-1.01475,2.97676e-08,0.0006,-0.00120769,1.46163e-07
-1.0146,-1.01475,2.73264e-08,0.0008,-0.00118857,1.52435e-07
-1.0146,-1.01475,3.06992e-08,0.001,-0.00116792,1.60021e-07
-1.0146,-1.01474,2.53713e-08,0.001,-0.00114766,1.67296e-07
-1.0144,-1.01474,2.812e-08,0.0012,-0.00112593,1.75939e-07
-1.0144,-1.01474,2.58728e-08,0.001,-0.00110642,1.82603e-07
-1.0144,-1.01473,3.211e-08,0.0008,-0.00108909,1.87535e-07
