energy,energy_mean,energy_var,order,order_mean,order_var
-1.0464,-1.0464,0,0.0132,0.0132,0
-1.0466,-1.0465,0,0.0134,0.0133,1.76096e-08
-1.0466,-1.04653,1.85208e-07,0.0134,0.0133333,1.17483e-08
-1.0466,-1.04655,1.23472e-07,0.0134,0.01335,8.80696e-09
-1.0468,-1.0466,2.3151e-08,0.0132,0.01332,1.05844e-08
-1.0468,-1.04663,-1.11125e-07,0.0132,0.0133,1.05837e-08
-1.047,-1.04669,4.6302e-08,0.0134,0.0133143,1.00575e-08
-1.047,-1.04673,-1.05833e-07,0.0132,0.0133,1.00498e-08
-1.0472,-1.04678,-2.3151e-07,0.013,0.0132667,1.76241e-08
-1.0474,-1.04684,-2.16076e-07,0.0132,0.01326,1.60478e-08
-1.0474,-1.04689,-1.29646e-07,0.013,0.0132364,1.98708e-08
-1.0474,-1.04693,8.41855e-08,0.0128,0.0132,3.20432e-08
-1.0474,-1.04697,1.08038e-07,0.0126,0.0131538,5.37716e-08
-1.0472,-1.04699,-6.41105e-08,0.0128,0.0131286,5.7534e-08
-1.0472,-1.047,-5.29166e-08,0.0128,0.0131067,5.97914e-08
-1.0476,-1.04704,4.32152e-08,0.0126,0.013075,6.99255e-08
-1.0474,-1.04706,1.15755e-08,0.0128,0.0130588,6.94975e-08
-1.0474,-1.04708,2.28786e-07,0.0128,0.0130444,6.86747e-08
-1.0476,-1.04711,2.36655e-07,0.013,0.0130421,6.49691e-08
-1.0478,-1.04714,3.70416e-07,0.0132,0.01305,6.26318e-08
-1.0478,-1.04717,2.68552e-07,0.0132,0.0130571,6.04717e-08
-1.0478,-1.0472,3.26319e-07,0.0132,0.0130636,5.84228e-08
-1.0476,-1.04722,2.69394e-07,0.0134,0.0130783,6.0111e-08
-1.0476,-1.04723,3.14048e-07,0.0134,0.0130917,6.12955e-08
-1.0478,-1.04726,1.08038e-07,0.0132,0.013096,5.91782e-08
-1.0478,-1.04728,2.74108e-07,0.013,0.0130923,5.71148e-08
-1.0478,-1.0473,6.41105e-08,0.013,0.0130889,5.51622e-08
-1.0482,-1.04733,9.60338e-08,0.0128,0.0130786,5.57594e-08
-1.0482,-1.04736,1.25677e-07,0.0126,0.0130621,6.07323e-08
-1.0484,-1.04739,1.53276e-07,0.0124,0.01304,7.15164e-08
-1.0484,-1.04743,1.5434e-07,0.0122,0.0130129,8.91606e-08
-1.0484,-1.04746,7.76679e-08,0.0122,0.0129875,1.04523e-07
-1.0484,-1.04748,2.89388e-08,0.0124,0.0129697,1.10467e-07
-1.0486,-1.04752,8.69917e-08,0.0122,0.0129471,1.22498e-07
-1.0484,-1.04754,6.26439e-08,0.0124,0.0129314,1.26429e-07
-1.0482,-1.04756,3.70416e-08,0.0122,0.0129111,1.35932e-07
-1.0482,-1.04758,3.03535e-07,0.0122,0.0128919,1.44188e-07
-1.0482,-1.04759,4.05455e-07,0.0124,0.0128789,1.45894e-07
-1.0484,-1.04762,4.09407e-07,0.0126,0.0128718,1.43867e-07
-1.0482,-1.04763,3.9891e-07,0.0124,0.01286,1.45074e-07
-1.0482,-1.04764,4.39869e-07,0.0122,0.0128439,1.50838e-07
-1.0482,-1.04766,4.83348e-07,0.0124,0.0128333,1.51293e-07
