size,8,32,128,256,512,1024
cg_none,2.928405223595e+01,4.376976165384e+02,6.740677204221e+03,2.676498491829e+04,1.066547116731e+05,4.257986074195e+05
cg_jacobi,2.928405223595e+01,4.376976165384e+02,6.740677204221e+03,2.676498491829e+04,1.066547116731e+05,4.257986074195e+05
cg_sor,7.665818166067e+00,7.685195466318e+01,1.097255701385e+03,4.310325518759e+03,1.708814626489e+04,6.805054895620e+04
cg_ilu,3.608448411695e+00,3.966500507982e+01,5.966466995992e+02,2.366409200880e+03,9.427695196342e+03,3.763615195654e+04
cg_icc,3.608448411695e+00,3.966500507982e+01,5.966466995992e+02,2.366409200881e+03,9.427695196201e+03,3.763615195836e+04
cg_gamg,1.382191990315e+00,1.564751161442e+00,1.773847571906e+00,1.861926743988e+00,2.049245497289e+00,2.312547519257e+00
gmres_none,2.889555277382e+01,4.339956912811e+02,6.729307755610e+03,2.673309594032e+04,1.065493257321e+05,4.254142290722e+05
gmres_jacobi,2.889555277382e+01,4.339956912811e+02,6.729307755610e+03,2.673309594032e+04,1.065493257321e+05,4.254142290722e+05
gmres_sor,7.534381748857e+00,7.749386037439e+01,1.100496384449e+03,4.315739751146e+03,1.709920560288e+04,6.807541501690e+04
gmres_ilu,3.584548157649e+00,3.967723956384e+01,5.966227093465e+02,2.366387787364e+03,9.427552388732e+03,3.763611115311e+04
gmres_icc,3.584548157649e+00,3.967723956362e+01,5.966227093560e+02,2.366387788341e+03,9.427552346414e+03,3.763611134143e+04
gmres_gamg,1.427879823323e+00,1.743970990350e+00,2.026306080540e+00,2.402859260706e+00,2.358475990031e+00,2.721013467021e+00
