label,8,32,128,256,512,1024
cg,0:0.380,0:0.224,0:0.236,0:0.340,0:1.540,0:12.505
bcgs,0:0.282,0:0.220,0:0.241,0:0.399,0:2.171,0:19.024
gmres_0,0:0.222,0:0.218,0:0.449,0:3.789,0:50.240,13:49.508
gmres_30,0:0.218,0:0.219,0:0.459,0:4.124,0:41.419,3:3.881
gmres_200,0:0.217,0:0.217,0:0.428,0:3.611,0:47.586,12:19.275
